cell_name,batch,cell_type
HP1507101_F9,smartseq2,gamma
HP1508501T2D_A19,smartseq2,gamma
HP1508501T2D_K16,smartseq2,gamma
HP1508501T2D_H18,smartseq2,gamma
HP1508501T2D_J17,smartseq2,gamma
HP1508501T2D_B10,smartseq2,gamma
HP1508501T2D_N18,smartseq2,gamma
HP1508501T2D_F11,smartseq2,gamma
HP1508501T2D_G22,smartseq2,gamma
HP1508501T2D_P4,smartseq2,gamma
HP1509101_F21,smartseq2,gamma
HP1509101_O8,smartseq2,gamma
HP1509101_G8,smartseq2,gamma
HP1509101_K8,smartseq2,gamma
HP1525301T2D_E19,smartseq2,gamma
HP1525301T2D_B5,smartseq2,gamma
HP1525301T2D_E3,smartseq2,gamma
HP1525301T2D_G23,smartseq2,gamma
HP1525301T2D_J18,smartseq2,gamma
HP1525301T2D_B8,smartseq2,gamma
HP1525301T2D_A16,smartseq2,gamma
HP1525301T2D_D12,smartseq2,gamma
HP1525301T2D_N21,smartseq2,gamma
HP1525301T2D_O11,smartseq2,gamma
HP1526901T2D_K12,smartseq2,gamma
HP1526901T2D_A20,smartseq2,gamma
HP1526901T2D_C13,smartseq2,gamma
HP1526901T2D_C19,smartseq2,gamma
HP1526901T2D_H23,smartseq2,gamma
HP1526901T2D_K11,smartseq2,gamma
HP1526901T2D_L14,smartseq2,gamma
HP1526901T2D_L7,smartseq2,gamma
HP1526901T2D_G1,smartseq2,gamma
HP1526901T2D_N18,smartseq2,gamma
HP1526901T2D_H16,smartseq2,gamma
HP1526901T2D_K21,smartseq2,gamma
HP1526901T2D_P23,smartseq2,gamma
HP1526901T2D_N20,smartseq2,gamma
HP1526901T2D_I24,smartseq2,gamma
HP1526901T2D_A15,smartseq2,gamma
HP1526901T2D_D10,smartseq2,gamma
HP1526901T2D_O3,smartseq2,gamma
HP1526901T2D_E4,smartseq2,gamma
HP1526901T2D_F12,smartseq2,gamma
HP1526901T2D_O10,smartseq2,gamma
HP1526901T2D_E10,smartseq2,gamma
HP1526901T2D_L12,smartseq2,gamma
HP1526901T2D_M22,smartseq2,gamma
HP1526901T2D_F20,smartseq2,gamma
HP1526901T2D_G19,smartseq2,gamma
HP1526901T2D_D14,smartseq2,gamma
HP1526901T2D_E5,smartseq2,gamma
HP1526901T2D_G9,smartseq2,gamma
HP1526901T2D_B13,smartseq2,gamma
HP1526901T2D_H3,smartseq2,gamma
HP1526901T2D_J17,smartseq2,gamma
HP1526901T2D_N19,smartseq2,gamma
HP1526901T2D_M3,smartseq2,gamma
HP1526901T2D_F7,smartseq2,gamma
D101_7,celseq,acinar
D101_50,celseq,acinar
D101_51,celseq,acinar
D101_52,celseq,acinar
D101_74,celseq,acinar
D101_82,celseq,acinar
D102_26,celseq,acinar
D102_51,celseq,acinar
D102_54,celseq,acinar
D102_69,celseq,acinar
D102_71,celseq,acinar
D102_76,celseq,acinar
D102_91,celseq,acinar
D10631_15,celseq,acinar
D10631_17,celseq,acinar
D10631_38,celseq,acinar
D10631_48,celseq,acinar
D10631_50,celseq,acinar
D10631_53,celseq,acinar
D10631_54,celseq,acinar
D10631_57,celseq,acinar
D10631_66,celseq,acinar
D10631_67,celseq,acinar
D10631_69,celseq,acinar
D10631_91,celseq,acinar
D10631_95,celseq,acinar
D10631_96,celseq,acinar
D1713_8,celseq,acinar
D1713_15,celseq,acinar
D1713_16,celseq,acinar
D1713_27,celseq,acinar
D1713_29,celseq,acinar
D1713_33,celseq,acinar
D1713_42,celseq,acinar
D1713_50,celseq,acinar
D1713_58,celseq,acinar
D1713_61,celseq,acinar
D1713_63,celseq,acinar
D1713_67,celseq,acinar
D1713_68,celseq,acinar
D1713_69,celseq,acinar
D1713_70,celseq,acinar
D1713_71,celseq,acinar
D1713_72,celseq,acinar
D1713_80,celseq,acinar
D1713_89,celseq,acinar
D1713_91,celseq,acinar
D172444_19,celseq,acinar
D17All1_36,celseq,acinar
D17All1_50,celseq,acinar
D17All1_52,celseq,acinar
D17All1_69,celseq,acinar
D17All1_92,celseq,acinar
D17All2_3,celseq,acinar
D17All2_79,celseq,acinar
D17TGFB_4,celseq,acinar
D17TGFB_6,celseq,acinar
D17TGFB_8,celseq,acinar
D17TGFB_9,celseq,acinar
D17TGFB_10,celseq,acinar
D17TGFB_12,celseq,acinar
D17TGFB_14,celseq,acinar
D17TGFB_17,celseq,acinar
D17TGFB_21,celseq,acinar
D17TGFB_22,celseq,acinar
D17TGFB_23,celseq,acinar
D17TGFB_26,celseq,acinar
D17TGFB_31,celseq,acinar
D17TGFB_32,celseq,acinar
D17TGFB_33,celseq,acinar
D17TGFB_36,celseq,acinar
D17TGFB_38,celseq,acinar
D17TGFB_39,celseq,acinar
D17TGFB_41,celseq,acinar
D17TGFB_43,celseq,acinar
D17TGFB_44,celseq,acinar
D17TGFB_45,celseq,acinar
D17TGFB_47,celseq,acinar
D17TGFB_49,celseq,acinar
D17TGFB_51,celseq,acinar
D17TGFB_54,celseq,acinar
D17TGFB_56,celseq,acinar
D17TGFB_57,celseq,acinar
D17TGFB_58,celseq,acinar
D17TGFB_59,celseq,acinar
D17TGFB_61,celseq,acinar
D17TGFB_66,celseq,acinar
D17TGFB_67,celseq,acinar
D17TGFB_71,celseq,acinar
D17TGFB_74,celseq,acinar
D17TGFB_76,celseq,acinar
D17TGFB_80,celseq,acinar
D17TGFB_85,celseq,acinar
D17TGFB_89,celseq,acinar
D17TGFB_92,celseq,acinar
D17TGFB_93,celseq,acinar
D2ex_1,celseq,acinar
D2ex_2,celseq,acinar
D2ex_3,celseq,acinar
D2ex_10,celseq,acinar
D2ex_13,celseq,acinar
D2ex_15,celseq,acinar
D2ex_16,celseq,acinar
D2ex_18,celseq,acinar
D2ex_21,celseq,acinar
D2ex_24,celseq,acinar
D2ex_26,celseq,acinar
D2ex_28,celseq,acinar
D2ex_34,celseq,acinar
D2ex_37,celseq,acinar
D2ex_40,celseq,acinar
D2ex_41,celseq,acinar
D2ex_42,celseq,acinar
D2ex_44,celseq,acinar
D2ex_46,celseq,acinar
D2ex_51,celseq,acinar
D2ex_59,celseq,acinar
D2ex_61,celseq,acinar
D2ex_66,celseq,acinar
D2ex_69,celseq,acinar
D2ex_70,celseq,acinar
D2ex_76,celseq,acinar
D2ex_79,celseq,acinar
D2ex_86,celseq,acinar
D2ex_92,celseq,acinar
D3en1_1,celseq,acinar
D3en1_5,celseq,acinar
D3en1_10,celseq,acinar
D3en1_11,celseq,acinar
D3en1_13,celseq,acinar
D3en1_26,celseq,acinar
D3en1_37,celseq,acinar
D3en1_41,celseq,acinar
D3en1_45,celseq,acinar
D3en1_48,celseq,acinar
D3en1_49,celseq,acinar
D3en1_56,celseq,acinar
D3en1_68,celseq,acinar
D3en1_73,celseq,acinar
D3en1_84,celseq,acinar
D3en2_5,celseq,acinar
D3en2_6,celseq,acinar
D3en2_16,celseq,acinar
D3en2_21,celseq,acinar
D3en2_23,celseq,acinar
D3en2_25,celseq,acinar
D3en2_26,celseq,acinar
D3en2_27,celseq,acinar
D3en2_31,celseq,acinar
D3en2_32,celseq,acinar
D3en2_33,celseq,acinar
D3en2_37,celseq,acinar
D3en2_39,celseq,acinar
D3en2_42,celseq,acinar
D3en2_45,celseq,acinar
D3en2_48,celseq,acinar
D3en2_57,celseq,acinar
D3en2_66,celseq,acinar
D3en2_72,celseq,acinar
D3en2_74,celseq,acinar
D3en2_90,celseq,acinar
D3en3_2,celseq,acinar
D3en3_9,celseq,acinar
D3en3_39,celseq,acinar
D3en3_46,celseq,acinar
D3en3_50,celseq,acinar
D3en3_64,celseq,acinar
D3en3_68,celseq,acinar
D3en3_72,celseq,acinar
D3en3_89,celseq,acinar
D3en4_7,celseq,acinar
D3en4_8,celseq,acinar
D3en4_9,celseq,acinar
D3en4_12,celseq,acinar
D3en4_14,celseq,acinar
D3en4_20,celseq,acinar
D3en4_25,celseq,acinar
D3en4_26,celseq,acinar
D3en4_30,celseq,acinar
D3en4_31,celseq,acinar
D3en4_32,celseq,acinar
D3en4_35,celseq,acinar
D3en4_39,celseq,acinar
D3en4_42,celseq,acinar
D3en4_46,celseq,acinar
D3en4_48,celseq,acinar
D3en4_54,celseq,acinar
D3en4_60,celseq,acinar
D3en4_68,celseq,acinar
D3en4_69,celseq,acinar
D3en4_72,celseq,acinar
D3en4_83,celseq,acinar
D3en4_87,celseq,acinar
D3en4_92,celseq,acinar
D3ex_5,celseq,acinar
D3ex_6,celseq,acinar
D3ex_36,celseq,acinar
D3ex_68,celseq,acinar
D3ex_71,celseq,acinar
D3ex_74,celseq,acinar
D3ex_76,celseq,acinar
D3ex_83,celseq,acinar
D71_2,celseq,acinar
D71_5,celseq,acinar
D71_10,celseq,acinar
D71_16,celseq,acinar
D71_34,celseq,acinar
D71_39,celseq,acinar
D71_78,celseq,acinar
D71_92,celseq,acinar
D72_1,celseq,acinar
D72_18,celseq,acinar
D72_22,celseq,acinar
D72_33,celseq,acinar
D72_40,celseq,acinar
D72_95,celseq,acinar
D73_35,celseq,acinar
D73_37,celseq,acinar
D73_43,celseq,acinar
D73_48,celseq,acinar
D73_52,celseq,acinar
D73_68,celseq,acinar
D73_83,celseq,acinar
D74_14,celseq,acinar
D74_62,celseq,acinar
D74_76,celseq,acinar
D74_81,celseq,acinar
D74_90,celseq,acinar
D28-1_37,celseq2,acinar
D28-1_38,celseq2,acinar
D28-1_50,celseq2,acinar
D28-1_55,celseq2,acinar
D28-1_62,celseq2,acinar
D28-1_67,celseq2,acinar
D28-1_68,celseq2,acinar
D28-1_86,celseq2,acinar
D28-1_87,celseq2,acinar
D28-2_1,celseq2,acinar
D28-2_4,celseq2,acinar
D28-2_15,celseq2,acinar
D28-2_18,celseq2,acinar
D28-2_39,celseq2,acinar
D28-2_42,celseq2,acinar
D28-2_49,celseq2,acinar
D28-2_53,celseq2,acinar
D28-2_61,celseq2,acinar
D28-2_74,celseq2,acinar
D28-2_75,celseq2,acinar
D28-2_78,celseq2,acinar
D28-2_86,celseq2,acinar
D28-2_87,celseq2,acinar
D28-2_89,celseq2,acinar
D28-3_4,celseq2,acinar
D28-3_25,celseq2,acinar
D28-3_26,celseq2,acinar
D28-3_28,celseq2,acinar
D28-3_31,celseq2,acinar
D28-3_44,celseq2,acinar
D28-3_51,celseq2,acinar
D28-3_52,celseq2,acinar
D28-3_62,celseq2,acinar
D28-3_65,celseq2,acinar
D28-3_75,celseq2,acinar
D28-3_77,celseq2,acinar
D28-3_85,celseq2,acinar
D28-3_90,celseq2,acinar
D28-3_91,celseq2,acinar
D28-4_4,celseq2,acinar
D28-4_17,celseq2,acinar
D28-4_28,celseq2,acinar
D28-4_40,celseq2,acinar
D28-4_49,celseq2,acinar
D28-4_51,celseq2,acinar
D28-4_53,celseq2,acinar
D28-4_54,celseq2,acinar
D28-4_61,celseq2,acinar
D28-4_63,celseq2,acinar
D28-4_67,celseq2,acinar
D28-4_75,celseq2,acinar
D28-4_85,celseq2,acinar
D28-4_86,celseq2,acinar
D28-4_89,celseq2,acinar
D28-5_3,celseq2,acinar
D28-5_17,celseq2,acinar
D28-5_27,celseq2,acinar
D28-5_29,celseq2,acinar
D28-5_31,celseq2,acinar
D28-5_37,celseq2,acinar
D28-5_38,celseq2,acinar
D28-5_42,celseq2,acinar
D28-5_54,celseq2,acinar
D28-5_62,celseq2,acinar
D28-5_63,celseq2,acinar
D28-5_77,celseq2,acinar
D28-5_78,celseq2,acinar
D28-6_2,celseq2,acinar
D28-6_4,celseq2,acinar
D28-6_14,celseq2,acinar
D28-6_19,celseq2,acinar
D28-6_38,celseq2,acinar
D28-6_41,celseq2,acinar
D28-6_42,celseq2,acinar
D28-6_50,celseq2,acinar
D28-6_51,celseq2,acinar
D28-6_61,celseq2,acinar
D28-6_62,celseq2,acinar
D28-6_63,celseq2,acinar
D28-6_66,celseq2,acinar
D28-6_73,celseq2,acinar
D28-6_74,celseq2,acinar
D28-6_76,celseq2,acinar
D28-6_89,celseq2,acinar
D28-7_1,celseq2,acinar
D28-7_37,celseq2,acinar
D28-7_39,celseq2,acinar
D28-7_41,celseq2,acinar
D28-7_51,celseq2,acinar
D28-7_52,celseq2,acinar
D28-7_62,celseq2,acinar
D28-7_64,celseq2,acinar
D28-7_75,celseq2,acinar
D28-7_78,celseq2,acinar
D28-8_6,celseq2,acinar
D28-8_39,celseq2,acinar
D28-8_49,celseq2,acinar
D28-8_53,celseq2,acinar
D28-8_63,celseq2,acinar
D28-8_75,celseq2,acinar
D28-8_77,celseq2,acinar
D29-1_68,celseq2,acinar
D29-5_73,celseq2,acinar
D29-5_78,celseq2,acinar
D29-7_5,celseq2,acinar
D29-7_49,celseq2,acinar
D30-1_1,celseq2,acinar
D30-1_19,celseq2,acinar
D30-1_29,celseq2,acinar
D30-1_30,celseq2,acinar
D30-1_36,celseq2,acinar
D30-1_55,celseq2,acinar
D30-1_61,celseq2,acinar
D30-1_63,celseq2,acinar
D30-1_72,celseq2,acinar
D30-1_91,celseq2,acinar
D30-2_1,celseq2,acinar
D30-2_11,celseq2,acinar
D30-2_17,celseq2,acinar
D30-2_27,celseq2,acinar
D30-2_41,celseq2,acinar
D30-2_42,celseq2,acinar
D30-2_43,celseq2,acinar
D30-2_45,celseq2,acinar
D30-2_51,celseq2,acinar
D30-2_53,celseq2,acinar
D30-2_56,celseq2,acinar
D30-2_76,celseq2,acinar
D30-3_2,celseq2,acinar
D30-3_45,celseq2,acinar
D30-3_63,celseq2,acinar
D30-3_91,celseq2,acinar
D30-4_18,celseq2,acinar
D30-4_23,celseq2,acinar
D30-4_62,celseq2,acinar
D30-4_81,celseq2,acinar
D30-4_82,celseq2,acinar
D30-5_36,celseq2,acinar
D30-5_45,celseq2,acinar
D30-5_79,celseq2,acinar
D30-5_89,celseq2,acinar
D30-6_5,celseq2,acinar
D30-6_37,celseq2,acinar
D30-6_40,celseq2,acinar
D30-6_44,celseq2,acinar
D30-6_80,celseq2,acinar
D30-7_1,celseq2,acinar
D30-7_11,celseq2,acinar
D30-7_20,celseq2,acinar
D30-7_24,celseq2,acinar
D30-7_28,celseq2,acinar
D30-7_39,celseq2,acinar
D30-7_91,celseq2,acinar
D30-8_24,celseq2,acinar
D30-8_33,celseq2,acinar
D30-8_36,celseq2,acinar
D30-8_37,celseq2,acinar
D30-8_63,celseq2,acinar
D30-8_65,celseq2,acinar
D30-8_69,celseq2,acinar
D30-8_81,celseq2,acinar
D30-8_84,celseq2,acinar
D31-1_5,celseq2,acinar
D31-1_7,celseq2,acinar
D31-1_9,celseq2,acinar
D31-1_11,celseq2,acinar
D31-1_19,celseq2,acinar
D31-1_21,celseq2,acinar
D31-1_22,celseq2,acinar
D31-1_25,celseq2,acinar
D31-1_27,celseq2,acinar
D31-1_44,celseq2,acinar
D31-1_45,celseq2,acinar
D31-1_48,celseq2,acinar
D31-1_51,celseq2,acinar
D31-1_58,celseq2,acinar
D31-1_70,celseq2,acinar
D31-1_88,celseq2,acinar
D31-2_6,celseq2,acinar
D31-2_15,celseq2,acinar
D31-2_18,celseq2,acinar
D31-2_26,celseq2,acinar
D31-2_30,celseq2,acinar
D31-2_38,celseq2,acinar
D31-2_53,celseq2,acinar
D31-2_61,celseq2,acinar
D31-2_69,celseq2,acinar
D31-2_75,celseq2,acinar
D31-2_83,celseq2,acinar
D31-2_86,celseq2,acinar
D31-2_87,celseq2,acinar
D31-3_1,celseq2,acinar
D31-3_14,celseq2,acinar
D31-3_23,celseq2,acinar
D31-3_25,celseq2,acinar
D31-3_26,celseq2,acinar
D31-3_36,celseq2,acinar
D31-3_40,celseq2,acinar
D31-3_47,celseq2,acinar
D31-3_48,celseq2,acinar
D31-3_53,celseq2,acinar
D31-3_60,celseq2,acinar
D31-3_63,celseq2,acinar
D31-3_64,celseq2,acinar
D31-3_69,celseq2,acinar
D31-3_73,celseq2,acinar
D31-3_78,celseq2,acinar
D31-3_86,celseq2,acinar
D31-3_89,celseq2,acinar
D31-4_9,celseq2,acinar
D31-4_13,celseq2,acinar
D31-4_14,celseq2,acinar
D31-4_36,celseq2,acinar
D31-4_41,celseq2,acinar
D31-4_43,celseq2,acinar
D31-4_48,celseq2,acinar
D31-4_55,celseq2,acinar
D31-4_70,celseq2,acinar
D31-4_72,celseq2,acinar
D31-4_79,celseq2,acinar
D31-4_90,celseq2,acinar
D31-4_91,celseq2,acinar
D31-4_93,celseq2,acinar
D31-5_1,celseq2,acinar
D31-5_4,celseq2,acinar
D31-5_16,celseq2,acinar
D31-5_34,celseq2,acinar
D31-5_39,celseq2,acinar
D31-5_45,celseq2,acinar
D31-5_48,celseq2,acinar
D31-5_57,celseq2,acinar
D31-5_60,celseq2,acinar
D31-5_69,celseq2,acinar
D31-5_70,celseq2,acinar
D31-5_75,celseq2,acinar
