"Cell","batch","cell_type","ExpLibSize"
"Cell94","Batch1","Group3",57208.9799222201
"Cell95","Batch1","Group4",65379.5479265549
"Cell96","Batch1","Group3",57717.4580145697
"Cell97","Batch1","Group4",55783.7822729351
"Cell98","Batch1","Group3",65610.4232104561
"Cell99","Batch1","Group2",78208.2418662919
"Cell100","Batch1","Group4",66425.8779768511
"Cell101","Batch1","Group1",58550.1956698523
"Cell102","Batch1","Group4",54519.9185051527
"Cell103","Batch1","Group4",54650.9143909793
"Cell104","Batch1","Group1",78718.9809165972
"Cell105","Batch1","Group3",91523.4299671534
"Cell106","Batch1","Group3",58015.2140862352
"Cell107","Batch1","Group1",48981.0132148693
"Cell108","Batch1","Group4",40663.8903743165
"Cell109","Batch1","Group3",52985.7809625908
"Cell110","Batch1","Group3",63649.4252445755
"Cell111","Batch1","Group4",55256.527014809
"Cell112","Batch1","Group4",42630.4314122726
"Cell113","Batch1","Group4",67746.6706171728
"Cell114","Batch1","Group3",61647.151884853
"Cell115","Batch1","Group4",45489.1794665492
"Cell116","Batch1","Group4",84342.4134337606
"Cell117","Batch1","Group3",53196.7562504455
"Cell118","Batch1","Group4",68274.257737818
"Cell119","Batch1","Group4",67945.5585072791
"Cell120","Batch1","Group1",82473.6403870958
"Cell121","Batch1","Group3",59160.9193552738
"Cell122","Batch1","Group1",68194.1290074649
"Cell123","Batch1","Group3",53921.7204883509
"Cell124","Batch1","Group1",78491.1731186273
"Cell125","Batch1","Group3",65892.8139578732
"Cell126","Batch1","Group2",72444.5757136094
"Cell127","Batch1","Group3",64027.7355211897
"Cell128","Batch1","Group2",73637.2541490549
"Cell129","Batch1","Group4",60904.2729306131
"Cell130","Batch1","Group1",47569.9624157265
"Cell131","Batch1","Group4",70590.4138832272
"Cell132","Batch1","Group3",43125.6946711089
"Cell133","Batch1","Group4",56945.5228664806
"Cell134","Batch1","Group3",60560.6174448449
"Cell135","Batch1","Group4",64334.9310146865
"Cell136","Batch1","Group4",43934.8978181503
"Cell137","Batch1","Group2",46631.7439114818
"Cell138","Batch1","Group3",52938.135714969
"Cell139","Batch1","Group3",54322.1849228525
"Cell140","Batch1","Group3",47003.8908416357
"Cell141","Batch1","Group2",41422.7660462011
"Cell142","Batch1","Group3",58859.263140841
"Cell143","Batch1","Group4",65433.4846475514
"Cell144","Batch1","Group1",59587.12170482
"Cell145","Batch1","Group3",63451.8807926713
"Cell146","Batch1","Group4",52198.055771105
"Cell147","Batch1","Group2",47875.8838244785
"Cell148","Batch1","Group4",55822.9056959919
"Cell149","Batch1","Group1",74083.7510587145
"Cell150","Batch1","Group3",73373.1205840973
"Cell151","Batch1","Group4",50584.1215797289
"Cell152","Batch1","Group3",66853.041603181
"Cell153","Batch1","Group3",50567.9424201636
"Cell154","Batch1","Group1",49412.2521073296
"Cell155","Batch1","Group4",53895.6948029894
"Cell156","Batch1","Group4",43006.0226725912
"Cell157","Batch1","Group4",48869.7303837524
"Cell158","Batch1","Group3",78843.716408696
"Cell159","Batch1","Group4",85131.2308388187
"Cell160","Batch1","Group4",77270.9038122831
"Cell161","Batch1","Group1",43027.138043405
"Cell162","Batch1","Group3",44861.3396296952
"Cell163","Batch1","Group3",89631.6205839295
"Cell164","Batch1","Group2",60655.7825268946
"Cell165","Batch1","Group1",68208.6507140899
"Cell166","Batch1","Group3",53952.1802867631
"Cell167","Batch1","Group3",57795.8531667903
"Cell168","Batch1","Group3",76361.9762741843
"Cell169","Batch1","Group1",58893.6227691023
"Cell170","Batch1","Group3",57111.6327865742
"Cell171","Batch1","Group2",63881.258318489
"Cell172","Batch1","Group3",60326.2499979238
"Cell173","Batch1","Group1",58678.6445291328
"Cell174","Batch1","Group2",76190.0133865741
"Cell175","Batch1","Group1",55090.570330171
"Cell176","Batch1","Group2",54905.1966528386
"Cell177","Batch1","Group4",69005.7645464728
"Cell178","Batch1","Group2",44929.9226799701
"Cell179","Batch1","Group4",51264.1071322026
"Cell180","Batch1","Group3",38355.561416849
"Cell181","Batch1","Group1",54388.5709123849
"Cell182","Batch1","Group1",72134.7697201714
"Cell183","Batch1","Group4",53776.0739826117
"Cell184","Batch1","Group4",52019.4053974138
"Cell185","Batch1","Group2",45638.8229395624
"Cell186","Batch1","Group3",48906.5839979732
"Cell187","Batch1","Group2",53654.9405633077
"Cell188","Batch1","Group4",79971.8870718965
"Cell189","Batch1","Group3",65586.8450045273
"Cell190","Batch1","Group1",53542.6261605889
"Cell191","Batch1","Group3",47573.4383373138
"Cell192","Batch1","Group4",70442.2354319944
"Cell193","Batch1","Group4",56158.3740853775
"Cell194","Batch1","Group3",60891.1301915066
"Cell195","Batch1","Group3",63535.0738465309
"Cell196","Batch1","Group3",45050.3064887475
"Cell197","Batch1","Group1",79522.7444374437
"Cell198","Batch1","Group3",43715.794796054
"Cell199","Batch1","Group2",65813.7786349684
"Cell200","Batch1","Group1",60716.3249423606
"Cell201","Batch1","Group3",49558.7559462732
"Cell202","Batch1","Group2",53826.341768283
"Cell203","Batch1","Group3",66610.7408450693
"Cell204","Batch1","Group3",59657.1481798543
"Cell205","Batch1","Group2",59231.6360344914
"Cell206","Batch1","Group3",41888.7068177917
"Cell207","Batch1","Group3",56854.1249435411
"Cell208","Batch1","Group3",59513.8802901751
"Cell209","Batch1","Group4",62540.0728900571
"Cell210","Batch1","Group1",43159.5817444841
"Cell211","Batch1","Group4",65476.1651252405
"Cell212","Batch1","Group4",39143.031416314
"Cell213","Batch1","Group1",69170.8140470744
"Cell214","Batch1","Group4",71743.2351654457
"Cell215","Batch1","Group2",46176.2786210032
"Cell216","Batch1","Group4",56312.8020004881
"Cell217","Batch1","Group3",62378.995104977
"Cell218","Batch1","Group2",59575.8312192898
"Cell219","Batch1","Group3",53150.1281583752
"Cell220","Batch1","Group1",65417.280342606
"Cell221","Batch1","Group4",63086.7478639893
"Cell222","Batch1","Group2",57689.2916926835
"Cell223","Batch1","Group1",46198.6744637082
"Cell224","Batch1","Group2",68353.4747908569
"Cell225","Batch1","Group1",61190.1479087542
"Cell226","Batch1","Group3",71746.6950421768
"Cell227","Batch1","Group3",45548.5090743017
"Cell228","Batch1","Group1",55868.9362685868
"Cell229","Batch1","Group1",60926.411958815
"Cell230","Batch1","Group4",60894.5794568825
"Cell231","Batch1","Group4",65961.4874868651
"Cell232","Batch1","Group3",75965.4670630526
"Cell233","Batch1","Group4",60752.0203329141
"Cell234","Batch1","Group4",98737.5342362573
"Cell235","Batch1","Group3",54527.5856389376
"Cell236","Batch1","Group3",45701.870181992
"Cell237","Batch1","Group3",63821.596043064
"Cell238","Batch1","Group1",58710.1013474044
"Cell239","Batch1","Group3",55411.8837947418
"Cell240","Batch1","Group4",67871.9901922786
"Cell241","Batch1","Group3",95296.0327013194
"Cell242","Batch1","Group2",40279.7146993027
"Cell243","Batch1","Group2",47119.4764627907
"Cell244","Batch1","Group2",50170.0969831337
"Cell245","Batch1","Group4",46990.9340378296
"Cell246","Batch1","Group1",60215.3582568145
"Cell247","Batch1","Group3",52930.8375282308
"Cell248","Batch1","Group1",74747.2051793548
"Cell249","Batch1","Group2",51619.7827916409
"Cell250","Batch1","Group2",62016.494769752
"Cell251","Batch1","Group1",75615.9515643084
"Cell252","Batch1","Group1",79570.4796728036
"Cell253","Batch1","Group2",66515.9144003001
"Cell254","Batch1","Group3",53603.0103906937
"Cell255","Batch1","Group1",68100.9195695507
"Cell256","Batch1","Group2",50333.1959160528
"Cell257","Batch1","Group4",64710.9746665985
"Cell258","Batch1","Group1",41729.5060138747
"Cell259","Batch1","Group4",48214.7633893188
"Cell260","Batch1","Group4",60858.0011837928
"Cell261","Batch1","Group3",68184.6558976522
"Cell262","Batch1","Group4",57492.9338547849
"Cell263","Batch1","Group1",53411.2298780945
"Cell264","Batch1","Group4",61024.6720368153
"Cell265","Batch1","Group2",61813.9112633317
"Cell266","Batch1","Group1",65558.1290941246
"Cell267","Batch1","Group1",70926.7810843271
"Cell268","Batch1","Group2",58376.8624474082
"Cell269","Batch1","Group3",59031.6148320009
"Cell270","Batch1","Group2",63446.7927662014
"Cell271","Batch1","Group2",77331.7880443968
"Cell272","Batch1","Group3",75846.1497805525
"Cell273","Batch1","Group4",59313.8672816535
"Cell274","Batch1","Group1",52367.8829776074
"Cell275","Batch1","Group3",70399.9721098079
"Cell276","Batch1","Group2",40948.291350426
"Cell277","Batch1","Group2",63593.1399720126
"Cell278","Batch1","Group4",59288.7580798741
"Cell279","Batch1","Group4",46776.1012547139
"Cell280","Batch1","Group3",43357.0623646996
"Cell281","Batch1","Group4",56862.0175774066
"Cell282","Batch1","Group1",73211.4162660734
"Cell283","Batch1","Group1",49828.8662044303
"Cell284","Batch1","Group3",52347.7914106641
"Cell285","Batch1","Group2",86891.442256029
"Cell286","Batch1","Group1",87799.2030440734
"Cell287","Batch1","Group2",72123.8642169569
"Cell288","Batch1","Group2",66680.1784770157
"Cell289","Batch1","Group2",53790.5679882776
"Cell290","Batch1","Group2",60092.5285887337
"Cell291","Batch1","Group3",75882.1460958301
"Cell292","Batch1","Group1",43151.7502494051
"Cell293","Batch1","Group4",50268.8439270547
"Cell294","Batch1","Group3",46132.659795662
"Cell295","Batch1","Group4",50165.7762367304
"Cell296","Batch1","Group4",50649.0190799224
"Cell297","Batch1","Group2",45101.798107291
"Cell298","Batch1","Group4",61517.6200656043
"Cell299","Batch1","Group2",75128.0945177959
"Cell300","Batch1","Group4",41476.2277207158
"Cell301","Batch1","Group4",76522.0249616562
"Cell302","Batch1","Group1",55280.0040190981
"Cell303","Batch1","Group1",51783.0019573007
"Cell304","Batch1","Group2",75878.7523578912
"Cell305","Batch1","Group4",49193.597544451
"Cell306","Batch1","Group4",40635.2316691195
"Cell307","Batch1","Group1",76118.6601270316
"Cell308","Batch1","Group1",89098.0035496519
"Cell309","Batch1","Group2",71624.4099175448
"Cell310","Batch1","Group2",49894.6684574386
"Cell311","Batch1","Group1",76412.7697107252
"Cell312","Batch1","Group1",69455.8012925635
"Cell313","Batch1","Group3",55672.3544305727
"Cell314","Batch1","Group4",54371.067787101
"Cell315","Batch1","Group3",75743.221813354
"Cell316","Batch1","Group2",39232.9738912523
"Cell317","Batch1","Group1",86317.5272768842
"Cell318","Batch1","Group1",64446.9899615648
"Cell319","Batch1","Group4",48557.420215713
"Cell320","Batch1","Group4",42501.0815964357
"Cell321","Batch1","Group1",62422.5236612327
"Cell322","Batch1","Group1",36836.4109298603
"Cell323","Batch1","Group3",66602.7471636349
"Cell324","Batch1","Group1",64973.4579123678
"Cell325","Batch1","Group1",40993.5310758379
"Cell326","Batch1","Group3",59851.0777638764
"Cell327","Batch1","Group3",51147.1520582536
"Cell328","Batch1","Group2",42242.7198097687
"Cell329","Batch1","Group3",52293.5544809775
"Cell330","Batch1","Group3",57106.4059475223
"Cell331","Batch1","Group4",63521.4145814892
"Cell332","Batch1","Group4",51739.6965214408
"Cell333","Batch1","Group1",68215.9424761122
"Cell334","Batch1","Group3",54551.2190475217
"Cell335","Batch1","Group4",71529.1646930217
"Cell336","Batch1","Group4",68008.0280041956
"Cell337","Batch1","Group4",54304.2297687314
"Cell338","Batch1","Group2",71005.4890466722
"Cell339","Batch1","Group3",67346.0286502398
"Cell340","Batch1","Group4",63334.973867383
"Cell341","Batch1","Group4",48279.8116538795
"Cell342","Batch1","Group1",67102.101444073
"Cell343","Batch1","Group1",65787.8368178221
"Cell344","Batch1","Group1",45498.3868967758
"Cell345","Batch1","Group4",68464.5143901005
"Cell346","Batch1","Group4",48473.2161618232
"Cell347","Batch1","Group4",62911.2960797953
"Cell348","Batch1","Group4",87154.8945883643
"Cell349","Batch1","Group3",51778.8040263016
"Cell350","Batch1","Group1",43348.1577281203
"Cell351","Batch1","Group1",39308.7569536066
"Cell352","Batch1","Group3",65311.8213186834
"Cell353","Batch1","Group4",46254.2147976041
"Cell354","Batch1","Group4",55763.5574925321
"Cell355","Batch1","Group2",66810.3501717053
"Cell356","Batch1","Group2",58307.3921018874
"Cell357","Batch1","Group2",56856.7634960974
"Cell358","Batch1","Group4",63411.7818088777
"Cell359","Batch1","Group1",65066.2806863959
"Cell360","Batch1","Group4",46705.6689649538
"Cell361","Batch1","Group2",41800.8153873125
"Cell362","Batch1","Group2",46693.4919768559
"Cell363","Batch1","Group4",61946.7956223095
"Cell364","Batch1","Group4",55475.7080131833
"Cell365","Batch1","Group2",50551.6528459252
"Cell366","Batch1","Group2",56616.928699055
"Cell367","Batch1","Group4",61197.4419618879
"Cell368","Batch1","Group4",66057.6649182849
"Cell369","Batch1","Group3",59178.9633413432
"Cell370","Batch1","Group3",42324.1883349413
"Cell371","Batch1","Group4",58026.0284895818
"Cell372","Batch1","Group4",59429.2799018991
"Cell373","Batch1","Group2",62772.1514118196
"Cell374","Batch1","Group2",54441.0214985064
"Cell375","Batch1","Group2",65345.1781733095
"Cell376","Batch1","Group1",56392.5412245699
"Cell377","Batch1","Group1",59058.0578025808
"Cell378","Batch1","Group3",62184.7797014544
"Cell379","Batch1","Group4",57183.8411303964
"Cell380","Batch1","Group4",41589.0923838963
"Cell381","Batch1","Group2",48465.7081348554
"Cell382","Batch1","Group1",47018.1361425398
"Cell383","Batch1","Group4",70991.2435761381
"Cell384","Batch1","Group3",57963.8365646988
"Cell385","Batch1","Group3",62020.7803642182
"Cell386","Batch1","Group4",70263.9832997064
"Cell387","Batch1","Group4",81385.4619731025
"Cell388","Batch1","Group1",66007.3405547357
"Cell389","Batch1","Group1",67841.9683355979
"Cell390","Batch1","Group4",57704.3021709972
"Cell391","Batch1","Group4",80096.4659708258
"Cell392","Batch1","Group3",70163.6355317676
"Cell393","Batch1","Group1",61830.2919614282
"Cell394","Batch1","Group1",62042.5754022172
"Cell395","Batch1","Group4",56102.7623960469
"Cell396","Batch1","Group4",58333.159349216
"Cell397","Batch1","Group3",45885.4891793738
"Cell398","Batch1","Group4",54428.7950496894
"Cell399","Batch1","Group4",65781.5988164748
"Cell400","Batch1","Group3",57326.331869496
"Cell401","Batch1","Group2",112265.305150505
"Cell402","Batch1","Group1",50740.6171024188
"Cell403","Batch1","Group1",66978.2366401713
"Cell404","Batch1","Group2",59244.8431989336
"Cell405","Batch1","Group2",49233.9411271983
"Cell406","Batch1","Group4",52680.6948751604
"Cell407","Batch1","Group1",73658.262726034
"Cell408","Batch1","Group2",49864.2013413404
"Cell409","Batch1","Group3",56972.2388249132
"Cell410","Batch1","Group4",61392.7838955306
"Cell411","Batch1","Group4",89232.2901816242
"Cell412","Batch1","Group1",70796.0527252902
"Cell413","Batch1","Group4",45410.6813334862
"Cell414","Batch1","Group1",51258.2512416199
"Cell415","Batch1","Group1",63944.2501788496
"Cell416","Batch1","Group2",66614.5526812981
"Cell417","Batch1","Group2",48163.9993693846
"Cell418","Batch1","Group3",59918.4417261501
"Cell419","Batch1","Group1",60697.7877608388
"Cell420","Batch1","Group1",52164.4232594857
"Cell421","Batch1","Group4",64494.3886062434
"Cell422","Batch1","Group3",95121.8465931277
"Cell423","Batch1","Group4",89862.1150087478
"Cell424","Batch1","Group3",67561.5689510818
"Cell425","Batch1","Group4",66897.9922045015
"Cell426","Batch1","Group2",72882.0839907348
"Cell427","Batch1","Group1",62058.9417425249
"Cell428","Batch1","Group4",49701.2762465608
"Cell429","Batch1","Group1",52432.5660941708
"Cell430","Batch1","Group2",58094.3477364579
"Cell431","Batch1","Group1",81588.9633295347
"Cell432","Batch1","Group2",62588.9258103206
"Cell433","Batch1","Group4",55757.7359783646
"Cell434","Batch1","Group3",48173.2301738795
"Cell435","Batch1","Group3",84172.1233675786
"Cell436","Batch1","Group2",49407.759991387
"Cell437","Batch1","Group2",57509.6521564338
"Cell438","Batch1","Group3",43720.5960068273
"Cell439","Batch1","Group4",63573.3963963394
"Cell440","Batch1","Group4",76663.5333605831
"Cell441","Batch1","Group4",40509.7915460308
"Cell442","Batch1","Group4",54973.1487312614
"Cell443","Batch1","Group1",49111.2570226619
"Cell444","Batch1","Group4",50841.4864109006
"Cell445","Batch1","Group2",38530.7163004675
"Cell446","Batch1","Group4",47853.0637874847
"Cell447","Batch1","Group1",55613.4666104904
"Cell448","Batch1","Group1",60109.2270842544
"Cell449","Batch1","Group4",61589.0471607451
"Cell450","Batch1","Group4",40937.4573941998
"Cell451","Batch1","Group1",57053.6892452673
"Cell452","Batch1","Group3",57527.8155991485
"Cell453","Batch1","Group2",69259.3630031217
"Cell454","Batch1","Group1",65031.9001076888
"Cell455","Batch1","Group2",61783.8118749167
"Cell456","Batch1","Group2",40486.8566562435
"Cell457","Batch1","Group4",77425.4959960651
"Cell458","Batch1","Group3",54292.327318936
"Cell459","Batch1","Group4",52805.2687164148
"Cell460","Batch1","Group4",68179.3501054444
"Cell461","Batch1","Group4",56732.3613374868
"Cell462","Batch1","Group1",54884.9834283348
"Cell463","Batch1","Group1",56987.0436113597
"Cell464","Batch1","Group1",54388.9022510031
"Cell465","Batch1","Group1",65073.3573952066
"Cell466","Batch1","Group4",60031.7967150152
"Cell467","Batch1","Group4",58670.9375078379
"Cell468","Batch1","Group1",43261.3470457262
"Cell469","Batch1","Group3",62209.4095101046
"Cell470","Batch1","Group3",65364.322091727
"Cell471","Batch1","Group2",62297.6859193269
"Cell472","Batch1","Group4",76407.215081733
"Cell473","Batch1","Group3",57724.549343629
"Cell474","Batch1","Group4",55172.5641406834
"Cell475","Batch1","Group3",60174.3973132198
"Cell476","Batch1","Group1",56656.1729488095
"Cell477","Batch1","Group4",81004.8927517717
"Cell478","Batch1","Group4",56384.2182332009
"Cell479","Batch1","Group2",89531.8940041753
"Cell480","Batch1","Group1",54287.0986702895
"Cell481","Batch1","Group4",65234.9129575971
"Cell482","Batch1","Group2",71489.5374973379
"Cell483","Batch1","Group4",39903.980119327
"Cell484","Batch1","Group4",58321.2374446851
"Cell485","Batch1","Group1",53754.4480601229
"Cell486","Batch1","Group3",72919.0998120686
"Cell487","Batch1","Group4",67392.242017178
"Cell488","Batch1","Group1",59853.3257108556
"Cell489","Batch1","Group3",57210.0396705755
"Cell490","Batch1","Group2",47838.3275234847
"Cell491","Batch1","Group4",66373.6438931644
"Cell492","Batch1","Group3",67328.1613285405
"Cell493","Batch1","Group2",49529.9568220157
"Cell494","Batch1","Group2",63752.5956521516
"Cell495","Batch1","Group2",69127.8671972446
"Cell496","Batch1","Group3",80122.520242338
"Cell497","Batch1","Group1",77872.3292023112
"Cell498","Batch1","Group1",46013.5712710202
"Cell499","Batch1","Group4",76294.2877264139
"Cell500","Batch1","Group1",47775.0536388835
"Cell501","Batch1","Group2",59150.9841001608
"Cell502","Batch1","Group2",41611.9342073051
"Cell503","Batch1","Group3",67281.281301317
"Cell504","Batch1","Group3",78165.1033242711
"Cell505","Batch1","Group4",45414.4246010271
"Cell506","Batch1","Group2",41923.9538181658
"Cell507","Batch1","Group4",44011.5108425105
"Cell508","Batch1","Group4",57179.2353890538
"Cell509","Batch1","Group4",56347.1383474604
"Cell510","Batch1","Group3",56318.509856109
"Cell511","Batch1","Group4",40823.0332738803
"Cell512","Batch1","Group4",60659.3461857944
"Cell513","Batch1","Group4",69161.2035195705
"Cell514","Batch1","Group2",48291.4205170443
"Cell515","Batch1","Group3",57886.6982987549
"Cell516","Batch1","Group3",62889.8323633231
"Cell517","Batch1","Group4",64161.6746965738
"Cell518","Batch1","Group4",42225.6444336934
"Cell519","Batch1","Group3",87946.900646284
"Cell520","Batch1","Group3",42495.7853432251
"Cell521","Batch1","Group1",57506.1739158592
"Cell522","Batch1","Group4",75852.2036908597
"Cell523","Batch1","Group1",55571.9933446904
"Cell524","Batch1","Group1",71210.781310471
"Cell525","Batch1","Group4",68708.8935113957
"Cell526","Batch1","Group3",61206.3580801941
"Cell527","Batch1","Group3",94512.420234433
"Cell528","Batch1","Group2",42158.1834490073
"Cell529","Batch1","Group1",65788.408259742
"Cell530","Batch1","Group2",67655.3067728822
"Cell531","Batch1","Group4",53685.9204078147
"Cell532","Batch1","Group1",67684.3509574157
"Cell533","Batch1","Group1",70689.4861678314
"Cell534","Batch1","Group2",85034.2999503592
"Cell535","Batch1","Group4",63180.8291750697
"Cell536","Batch1","Group3",71315.1192987755
"Cell537","Batch1","Group2",71045.1311377744
"Cell538","Batch1","Group3",61244.9629448129
"Cell539","Batch1","Group1",32897.4781620258
"Cell540","Batch1","Group4",61959.7444493941
"Cell541","Batch1","Group2",47114.5597654939
"Cell542","Batch1","Group1",51143.4051656658
"Cell543","Batch1","Group1",82955.6029196726
"Cell544","Batch1","Group4",60625.1947500737
"Cell545","Batch1","Group3",58470.7280597424
"Cell546","Batch1","Group2",53445.8055812231
"Cell547","Batch1","Group1",78011.7562995789
"Cell548","Batch1","Group4",52761.2969384193
"Cell549","Batch1","Group3",52854.6473960815
"Cell550","Batch1","Group3",62737.7008404873
"Cell551","Batch1","Group3",67582.3430892584
"Cell552","Batch1","Group3",56283.877287646
"Cell553","Batch1","Group3",51650.4575518957
"Cell554","Batch1","Group2",62456.1230232281
"Cell555","Batch1","Group2",51776.4118887288
"Cell556","Batch1","Group1",60838.4466409057
"Cell557","Batch1","Group2",55582.716337337
"Cell558","Batch1","Group2",49606.3608336026
"Cell559","Batch1","Group4",44279.4697987258
"Cell560","Batch1","Group2",63166.7955140152
"Cell561","Batch1","Group3",83632.2865407124
"Cell562","Batch1","Group4",60091.26767761
"Cell563","Batch1","Group3",87252.1526657446
"Cell564","Batch1","Group4",48660.0229750712
"Cell565","Batch1","Group4",50358.636904645
"Cell566","Batch1","Group4",37193.0997172516
"Cell567","Batch1","Group4",52801.8931606712
"Cell568","Batch1","Group3",50318.5417721105
"Cell569","Batch1","Group3",70080.0322835826
"Cell570","Batch1","Group4",47210.2977646078
"Cell571","Batch1","Group1",58403.6219250252
"Cell572","Batch1","Group2",66848.0227732321
"Cell573","Batch1","Group1",67436.6820406615
"Cell574","Batch1","Group3",78452.7783772261
"Cell575","Batch1","Group2",65699.4063828114
"Cell576","Batch1","Group1",52545.5102628855
"Cell577","Batch1","Group4",42676.2358512338
"Cell578","Batch1","Group3",64274.1725630405
"Cell579","Batch1","Group2",53836.0194800048
"Cell580","Batch1","Group3",63877.7637170225
"Cell581","Batch1","Group2",112234.039932836
"Cell582","Batch1","Group2",52559.4090845904
"Cell583","Batch1","Group4",56334.2266518452
"Cell584","Batch1","Group1",63098.9548491964
"Cell585","Batch1","Group2",67628.9401276824
"Cell586","Batch1","Group4",59991.8304986865
"Cell587","Batch1","Group4",67746.161893721
"Cell588","Batch1","Group1",62143.7918296133
"Cell589","Batch1","Group4",55268.6100859212
"Cell590","Batch1","Group2",45832.3811072088
"Cell591","Batch1","Group4",80962.6004699287
"Cell592","Batch1","Group2",47375.3694237456
"Cell593","Batch1","Group2",39356.0362792714
"Cell594","Batch1","Group1",58862.1421877811
"Cell595","Batch1","Group1",81953.9446792383
"Cell596","Batch1","Group3",67063.1779825948
"Cell597","Batch1","Group4",47322.0051658167
"Cell598","Batch1","Group3",67710.7488124391
"Cell599","Batch1","Group4",59820.3054120241
"Cell600","Batch1","Group2",64955.4070416353
"Cell601","Batch1","Group4",47355.7920041841
"Cell602","Batch1","Group4",58250.6571833254
"Cell603","Batch1","Group2",49740.533497142
"Cell604","Batch1","Group1",52353.6534833533
"Cell605","Batch1","Group1",44029.2610936628
"Cell606","Batch1","Group3",70030.3304388906
"Cell607","Batch1","Group3",61836.8538851587
"Cell608","Batch1","Group1",60909.6440598025
"Cell609","Batch1","Group2",76187.4095302238
