,cell_type,batch,batch_from_meta
10x_CELL_000435,H2228,10x,10x
10x_CELL_000436,H2228,10x,10x
10x_CELL_000437,HCC827,10x,10x
10x_CELL_000438,H2228,10x,10x
10x_CELL_000439,H2228,10x,10x
10x_CELL_000440,H1975,10x,10x
10x_CELL_000441,H2228,10x,10x
10x_CELL_000442,H1975,10x,10x
10x_CELL_000443,HCC827,10x,10x
10x_CELL_000444,H1975,10x,10x
10x_CELL_000445,H2228,10x,10x
10x_CELL_000446,H1975,10x,10x
10x_CELL_000447,H2228,10x,10x
10x_CELL_000448,H2228,10x,10x
10x_CELL_000449,H2228,10x,10x
10x_CELL_000450,H1975,10x,10x
10x_CELL_000451,HCC827,10x,10x
10x_CELL_000452,H1975,10x,10x
10x_CELL_000454,HCC827,10x,10x
10x_CELL_000455,HCC827,10x,10x
10x_CELL_000456,H1975,10x,10x
10x_CELL_000457,H1975,10x,10x
10x_CELL_000458,HCC827,10x,10x
10x_CELL_000459,H1975,10x,10x
10x_CELL_000460,H1975,10x,10x
10x_CELL_000461,H1975,10x,10x
10x_CELL_000462,HCC827,10x,10x
10x_CELL_000463,H1975,10x,10x
10x_CELL_000464,H2228,10x,10x
10x_CELL_000465,H1975,10x,10x
10x_CELL_000466,H1975,10x,10x
10x_CELL_000467,H2228,10x,10x
10x_CELL_000468,HCC827,10x,10x
10x_CELL_000469,HCC827,10x,10x
10x_CELL_000470,H1975,10x,10x
10x_CELL_000471,H1975,10x,10x
10x_CELL_000472,H2228,10x,10x
10x_CELL_000473,H2228,10x,10x
10x_CELL_000474,HCC827,10x,10x
10x_CELL_000475,H1975,10x,10x
10x_CELL_000476,H1975,10x,10x
10x_CELL_000477,H2228,10x,10x
10x_CELL_000478,H2228,10x,10x
10x_CELL_000479,H1975,10x,10x
10x_CELL_000480,H1975,10x,10x
10x_CELL_000481,HCC827,10x,10x
10x_CELL_000482,H1975,10x,10x
10x_CELL_000483,HCC827,10x,10x
10x_CELL_000484,H1975,10x,10x
10x_CELL_000485,H1975,10x,10x
10x_CELL_000486,H2228,10x,10x
10x_CELL_000487,H2228,10x,10x
10x_CELL_000488,H1975,10x,10x
10x_CELL_000489,H2228,10x,10x
10x_CELL_000490,H2228,10x,10x
10x_CELL_000491,HCC827,10x,10x
10x_CELL_000492,H1975,10x,10x
10x_CELL_000493,HCC827,10x,10x
10x_CELL_000494,H2228,10x,10x
10x_CELL_000495,H2228,10x,10x
10x_CELL_000496,HCC827,10x,10x
10x_CELL_000497,H1975,10x,10x
10x_CELL_000498,HCC827,10x,10x
10x_CELL_000499,H2228,10x,10x
10x_CELL_000500,H1975,10x,10x
10x_CELL_000501,H2228,10x,10x
10x_CELL_000502,HCC827,10x,10x
10x_CELL_000503,HCC827,10x,10x
10x_CELL_000504,H1975,10x,10x
10x_CELL_000505,HCC827,10x,10x
10x_CELL_000506,H2228,10x,10x
10x_CELL_000507,H2228,10x,10x
10x_CELL_000508,H1975,10x,10x
10x_CELL_000509,H1975,10x,10x
10x_CELL_000510,H2228,10x,10x
10x_CELL_000511,H2228,10x,10x
10x_CELL_000512,HCC827,10x,10x
10x_CELL_000513,H2228,10x,10x
10x_CELL_000514,H2228,10x,10x
10x_CELL_000515,H2228,10x,10x
10x_CELL_000516,H2228,10x,10x
10x_CELL_000517,H2228,10x,10x
10x_CELL_000518,H1975,10x,10x
10x_CELL_000519,H1975,10x,10x
10x_CELL_000520,H2228,10x,10x
10x_CELL_000521,H1975,10x,10x
10x_CELL_000522,H2228,10x,10x
10x_CELL_000523,H2228,10x,10x
10x_CELL_000524,H1975,10x,10x
10x_CELL_000525,H1975,10x,10x
10x_CELL_000526,HCC827,10x,10x
10x_CELL_000527,H2228,10x,10x
10x_CELL_000529,H2228,10x,10x
10x_CELL_000530,H2228,10x,10x
10x_CELL_000531,H2228,10x,10x
10x_CELL_000532,HCC827,10x,10x
10x_CELL_000533,H2228,10x,10x
10x_CELL_000534,HCC827,10x,10x
10x_CELL_000535,H1975,10x,10x
10x_CELL_000536,H2228,10x,10x
10x_CELL_000537,HCC827,10x,10x
10x_CELL_000538,H2228,10x,10x
10x_CELL_000540,HCC827,10x,10x
10x_CELL_000541,H1975,10x,10x
10x_CELL_000542,H2228,10x,10x
10x_CELL_000543,HCC827,10x,10x
10x_CELL_000544,H2228,10x,10x
10x_CELL_000545,H1975,10x,10x
10x_CELL_000546,H2228,10x,10x
10x_CELL_000547,H2228,10x,10x
10x_CELL_000548,H2228,10x,10x
10x_CELL_000549,H1975,10x,10x
10x_CELL_000550,HCC827,10x,10x
10x_CELL_000551,H2228,10x,10x
10x_CELL_000552,HCC827,10x,10x
10x_CELL_000553,HCC827,10x,10x
10x_CELL_000554,H1975,10x,10x
10x_CELL_000555,H1975,10x,10x
10x_CELL_000556,H1975,10x,10x
10x_CELL_000557,H2228,10x,10x
10x_CELL_000558,H2228,10x,10x
10x_CELL_000559,H2228,10x,10x
10x_CELL_000560,H2228,10x,10x
10x_CELL_000561,HCC827,10x,10x
10x_CELL_000562,H1975,10x,10x
10x_CELL_000563,H1975,10x,10x
10x_CELL_000564,H1975,10x,10x
10x_CELL_000565,H1975,10x,10x
10x_CELL_000566,H1975,10x,10x
10x_CELL_000567,H1975,10x,10x
10x_CELL_000568,H2228,10x,10x
10x_CELL_000569,H2228,10x,10x
10x_CELL_000570,H2228,10x,10x
10x_CELL_000571,H2228,10x,10x
10x_CELL_000572,H1975,10x,10x
10x_CELL_000573,H2228,10x,10x
10x_CELL_000574,HCC827,10x,10x
10x_CELL_000575,H1975,10x,10x
10x_CELL_000576,H1975,10x,10x
10x_CELL_000577,H1975,10x,10x
10x_CELL_000578,H1975,10x,10x
10x_CELL_000579,H1975,10x,10x
10x_CELL_000580,H2228,10x,10x
10x_CELL_000581,H2228,10x,10x
10x_CELL_000582,H1975,10x,10x
10x_CELL_000583,H1975,10x,10x
10x_CELL_000584,HCC827,10x,10x
10x_CELL_000585,H2228,10x,10x
10x_CELL_000586,HCC827,10x,10x
10x_CELL_000587,H1975,10x,10x
10x_CELL_000588,H2228,10x,10x
10x_CELL_000589,H2228,10x,10x
10x_CELL_000590,H2228,10x,10x
10x_CELL_000591,H2228,10x,10x
10x_CELL_000592,H1975,10x,10x
10x_CELL_000593,H2228,10x,10x
10x_CELL_000594,H2228,10x,10x
10x_CELL_000595,H1975,10x,10x
10x_CELL_000596,HCC827,10x,10x
10x_CELL_000597,H2228,10x,10x
10x_CELL_000598,HCC827,10x,10x
10x_CELL_000599,H2228,10x,10x
10x_CELL_000600,H2228,10x,10x
10x_CELL_000601,H2228,10x,10x
10x_CELL_000602,H2228,10x,10x
10x_CELL_000603,H1975,10x,10x
10x_CELL_000604,H1975,10x,10x
10x_CELL_000605,H1975,10x,10x
10x_CELL_000606,H1975,10x,10x
10x_CELL_000607,H1975,10x,10x
10x_CELL_000608,H1975,10x,10x
10x_CELL_000609,H2228,10x,10x
10x_CELL_000610,H1975,10x,10x
10x_CELL_000611,HCC827,10x,10x
10x_CELL_000612,H2228,10x,10x
10x_CELL_000613,H1975,10x,10x
10x_CELL_000614,H2228,10x,10x
10x_CELL_000615,H2228,10x,10x
10x_CELL_000616,H1975,10x,10x
10x_CELL_000617,H2228,10x,10x
10x_CELL_000618,H1975,10x,10x
10x_CELL_000619,H1975,10x,10x
10x_CELL_000620,HCC827,10x,10x
10x_CELL_000621,H1975,10x,10x
10x_CELL_000622,H1975,10x,10x
10x_CELL_000623,H1975,10x,10x
10x_CELL_000624,H1975,10x,10x
10x_CELL_000625,H2228,10x,10x
10x_CELL_000626,H2228,10x,10x
10x_CELL_000628,HCC827,10x,10x
10x_CELL_000629,H1975,10x,10x
10x_CELL_000630,H2228,10x,10x
10x_CELL_000631,H2228,10x,10x
10x_CELL_000632,HCC827,10x,10x
10x_CELL_000633,H1975,10x,10x
10x_CELL_000634,HCC827,10x,10x
10x_CELL_000635,H1975,10x,10x
10x_CELL_000636,HCC827,10x,10x
10x_CELL_000637,HCC827,10x,10x
10x_CELL_000639,H2228,10x,10x
10x_CELL_000640,H2228,10x,10x
10x_CELL_000641,H1975,10x,10x
10x_CELL_000642,H1975,10x,10x
10x_CELL_000643,H1975,10x,10x
10x_CELL_000644,H1975,10x,10x
10x_CELL_000645,H1975,10x,10x
10x_CELL_000646,H1975,10x,10x
10x_CELL_000647,H1975,10x,10x
10x_CELL_000648,H2228,10x,10x
10x_CELL_000649,HCC827,10x,10x
10x_CELL_000650,H2228,10x,10x
10x_CELL_000651,H1975,10x,10x
10x_CELL_000652,H2228,10x,10x
10x_CELL_000653,H2228,10x,10x
10x_CELL_000654,H1975,10x,10x
10x_CELL_000655,H2228,10x,10x
10x_CELL_000656,H2228,10x,10x
10x_CELL_000657,H1975,10x,10x
10x_CELL_000658,H1975,10x,10x
10x_CELL_000659,H2228,10x,10x
10x_CELL_000660,HCC827,10x,10x
10x_CELL_000661,H1975,10x,10x
10x_CELL_000662,H2228,10x,10x
10x_CELL_000663,H2228,10x,10x
10x_CELL_000664,H2228,10x,10x
10x_CELL_000665,H1975,10x,10x
10x_CELL_000666,H1975,10x,10x
10x_CELL_000667,H2228,10x,10x
10x_CELL_000668,H1975,10x,10x
10x_CELL_000669,H2228,10x,10x
10x_CELL_000671,H1975,10x,10x
10x_CELL_000672,H1975,10x,10x
10x_CELL_000673,HCC827,10x,10x
10x_CELL_000674,H2228,10x,10x
10x_CELL_000675,H2228,10x,10x
10x_CELL_000676,H2228,10x,10x
10x_CELL_000677,H1975,10x,10x
10x_CELL_000678,H1975,10x,10x
10x_CELL_000679,H1975,10x,10x
10x_CELL_000680,H1975,10x,10x
10x_CELL_000681,H1975,10x,10x
10x_CELL_000682,H2228,10x,10x
10x_CELL_000683,H2228,10x,10x
10x_CELL_000684,H2228,10x,10x
10x_CELL_000685,H2228,10x,10x
10x_CELL_000686,H2228,10x,10x
10x_CELL_000687,H2228,10x,10x
10x_CELL_000688,H2228,10x,10x
10x_CELL_000689,H2228,10x,10x
10x_CELL_000690,H1975,10x,10x
10x_CELL_000691,H2228,10x,10x
10x_CELL_000692,H2228,10x,10x
