cell_id,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49,latent_50,latent_51,latent_52,latent_53,latent_54,latent_55,latent_56,latent_57,latent_58,latent_59,latent_60,latent_61,latent_62,latent_63,latent_64
cell_0011,0.19144914,-0.06334848,-0.06510877,0.12965445,0.04222689,-0.117404416,-0.18941972,0.048635583,-0.09766805,0.05961181,0.14724892,-0.08857952,-0.10950534,-0.046772197,0.18085982,0.13884988,0.073064424,0.07608924,-0.033722028,0.23374945,-0.0704099,0.25330165,-0.039622303,0.07771414,0.08503403,-0.10272945,-0.1566784,-0.22874732,0.08120266,0.11989935,0.024678256,0.11936946,-0.062222093,0.036964674,0.06537947,0.2337064,-0.13930409,0.1593787,-0.09594373,0.13136324,0.09284363,-0.010405993,0.122890994,-0.2052337,-0.17549402,0.03662719,0.05384239,-0.028393062,0.14347403,0.049868505,-0.0025727202,-0.017326053,0.054691017,-0.21995115,0.26681492,-0.16333005,0.16991861,0.057063673,-0.103911094,0.0071809557,-0.06303398,0.11376285,-0.15953799,0.08005236
cell_0012,0.20227402,-0.12478369,-0.1381962,0.17593971,-0.0012565668,-0.12299263,-0.16617699,0.12939733,-0.08285613,0.06000499,0.1018638,-0.089693494,-0.15726322,0.025398603,0.26897302,0.11792293,0.11268303,-0.07478907,-0.014170285,0.1996955,-0.07673157,0.18811928,-0.111198194,0.08765877,0.026861398,-0.09670275,-0.09559088,-0.21761166,0.007317769,0.11647273,0.014548525,0.16611853,0.028037654,0.06071478,-0.04747765,0.22904488,-0.09137163,0.125686,-0.19242124,0.11433261,0.06478962,0.0046234033,0.13389923,-0.15831894,-0.12250112,0.03650272,0.07612912,-0.04239594,0.13038114,0.07427684,-0.0018328539,-0.013168331,0.09632381,-0.19581471,0.14729546,-0.25852922,0.19630815,0.06918668,-0.13819343,0.0267053,-0.035588544,0.11810877,-0.081405185,0.13178958
cell_0013,0.2539858,-0.105576746,-0.100183696,0.137563,0.10609133,-0.093001515,-0.1268437,0.067883655,-0.13941754,0.09349227,0.11544597,-0.035925083,-0.121486805,0.05588571,0.20550832,0.118224375,0.14852424,-0.07709225,0.038239628,0.21847942,-0.073656105,0.1823922,-0.053701993,0.12288336,0.07769205,-0.08487857,-0.15136643,-0.20106746,-0.06501845,-0.09756686,-0.0038111596,0.20166515,0.11434766,0.06778989,-0.17272702,0.14460252,-0.12381205,0.04656364,-0.210555,0.07420216,0.09378253,0.020365028,0.1439273,-0.097446874,-0.13614742,0.00424451,0.120449446,-0.06114485,0.17825352,0.04709991,0.07188163,-0.08355421,0.09511778,-0.1918965,0.19784819,-0.24644332,0.15673149,0.019895256,-0.07440794,0.051062353,-0.073009446,0.10992779,-0.0038107757,0.13641645
cell_0014,0.18586725,-0.10493047,0.014642496,0.11300749,0.06901159,-0.09073727,-0.25497115,0.07710517,-0.10985172,0.09007926,0.14724572,-0.11210458,-0.10672595,-0.07232676,0.16352864,0.11138852,0.124526024,0.025009971,-0.12264983,0.20448753,-0.11034845,0.25397497,-0.037901204,0.08464669,0.18912134,-0.12839687,-0.19746386,-0.26028675,0.12526715,-0.015492393,0.017578566,0.11035133,0.05303049,0.00017813395,-0.040542778,0.19813272,-0.14624193,0.0655376,-0.047056623,0.032990858,-0.04746577,0.09958546,0.21291122,-0.08136481,-0.12532285,0.06912963,0.11929784,-0.09277293,0.12010709,0.0380943,0.020506691,-0.082852356,0.108633615,-0.20488532,0.22362891,-0.13958327,0.11348986,0.026595142,-0.06745979,0.0003466604,-0.15556476,0.043508075,-0.15890191,0.074586794
cell_0015,0.12838937,-0.14703488,-0.09998097,0.0454608,0.11670249,-0.15284453,-0.13770778,0.01600171,-0.10908631,-0.035322055,0.1410949,-0.039435208,-0.092875674,-0.040880606,0.15557793,0.13732573,0.16314887,0.08692111,-0.095503606,0.19603126,-0.07619267,0.21406426,-0.0948109,0.11625341,0.17982897,-0.15873906,-0.1098862,-0.1939884,0.088774174,-0.043188173,0.0038513255,0.15941131,0.036935505,0.022849405,-0.021115592,0.18003167,-0.06800593,0.082991354,-0.13701966,0.037816815,0.008689838,0.035579756,0.19061686,-0.09460326,-0.18072869,0.055788506,0.028058035,-0.09384909,0.22273988,-0.057273075,0.018340666,-0.040615246,0.08745385,-0.14987314,0.21234366,-0.23764835,0.26795635,-0.004261988,0.017330958,0.007128829,-0.12410963,0.1739696,-0.20489512,0.050590623
cell_0016,0.21554202,-0.13874935,-0.11461974,0.20547447,0.014688989,-0.1517963,-0.09191252,0.14647269,-0.16613264,0.06503551,0.1319282,-0.12722299,-0.09771788,0.022969566,0.25692168,0.13225324,0.10123319,-0.085824944,0.076333456,0.17040478,-0.0506235,0.16155879,-0.11935994,0.086261205,-0.0058632004,-0.044103876,-0.13380069,-0.22307946,0.015601794,-0.049369656,0.06954908,0.10640067,0.089587845,0.012167979,-0.09329941,0.12187539,-0.07471219,0.022880545,-0.23314215,0.04333199,0.15168163,0.08480077,0.20882908,-0.05382537,-0.15288338,-0.050298378,0.042792898,-0.019302998,0.19929084,0.100984424,0.057643134,-0.030262187,0.10629233,-0.22052364,0.19491744,-0.18657462,0.11120218,0.03647475,-0.09174876,-0.013964255,-0.12353193,0.14050919,-0.007962803,0.17976886
cell_0017,0.14505452,-0.15278494,-0.07046058,0.12696399,0.07011328,-0.17844754,-0.18669072,-0.012588574,-0.10124998,0.10365157,0.09244973,-0.17367788,-0.00070809666,-0.07214988,0.20814344,0.12517272,0.028803146,0.031209143,-0.027688488,0.25423807,-0.07205425,0.275701,-0.031654615,0.026124805,0.18032716,-0.15045798,-0.12755409,-0.26817176,-0.0007285581,0.010043448,-0.13930574,0.14194384,-0.035679482,0.07692405,-0.07801884,0.1110092,-0.13112421,0.20951131,-0.08528979,0.095103405,0.052403387,-0.021279663,0.10467714,-0.15268597,-0.1665583,-0.11596628,0.070917346,0.035448056,0.14977665,0.012215533,-0.061593667,0.069870524,0.07068009,-0.20533857,0.21761024,-0.13337722,0.16266282,0.126269,-0.11201275,0.036318656,-0.036456067,-0.0014961667,-0.12668166,0.02452835
cell_0018,0.18220605,-0.14893322,-0.07232827,0.12258824,0.045282684,-0.1263697,-0.119189136,0.15054484,-0.13645867,0.081463985,0.13541675,-0.058066163,-0.106216215,0.0047161225,0.19760375,0.19500485,0.11174985,-0.034910318,-0.008384909,0.24418823,-0.090733245,0.22381915,-0.033707675,0.052718718,0.08137917,-0.08333701,-0.19146632,-0.22419329,-0.05661482,0.017830014,-0.03446533,0.22575946,0.060039308,0.036491305,-0.049206294,0.18319893,-0.15907857,0.10651653,-0.13706893,0.08494258,0.14397213,-0.04226921,0.1058739,-0.08268315,-0.1907722,0.035055812,0.11492223,-0.008241705,0.12418194,0.053744987,0.0039191074,0.000890066,0.12738238,-0.19712003,0.20998552,-0.23731126,0.16782452,0.053994026,-0.063567914,0.0632747,-0.024402015,0.13888082,-0.076478265,0.092741996
cell_0019,0.2170438,-0.1281117,-0.07463201,0.14875901,0.07504534,-0.15485573,-0.16756059,0.06528318,-0.075925216,0.022642648,0.20339878,-0.09490821,-0.19004366,-0.019766157,0.20013791,0.18832089,0.07888268,0.02500441,-0.025242604,0.2389435,-0.08197067,0.23354548,-0.051478226,0.12054195,0.107402794,-0.10711676,-0.11187422,-0.26828158,-0.042687353,-0.005718906,-0.0056762155,0.18539284,0.09910687,0.07480022,-0.058158673,0.12967435,-0.08614211,0.014952961,-0.1024561,0.14362936,0.12714174,-0.036500417,0.19968615,-0.11181273,-0.1117709,-0.0193573,0.011834913,-0.11446221,0.177628,0.010544201,-0.034527592,-0.0934947,0.05223828,-0.18421991,0.10978511,-0.1597616,0.1874783,-0.04545535,-0.042379882,-0.019783163,-0.11143923,0.100320905,-0.061086792,0.19885394
cell_0020,0.16856052,-0.05632826,-0.05095082,0.1675392,0.14463605,-0.14304923,-0.1853808,0.086054675,-0.16647129,-0.008646423,0.16306967,-0.066407315,-0.085072905,0.030535156,0.10096811,0.13291022,0.1569036,-0.020428663,0.012692229,0.19663653,-0.11073959,0.22541991,-0.040393952,0.17551848,-0.015389826,-0.12430153,-0.1618461,-0.18205325,0.015400472,-0.04519992,0.006759265,0.13168024,0.013584147,0.08614803,-0.12104442,0.13325217,0.001089093,0.048106518,-0.15183352,0.11271754,0.088042945,0.13228443,0.24992737,-0.07311205,-0.16641359,-0.021419968,0.086527914,-0.06387988,0.22650163,0.029083425,0.08544787,-0.016356768,0.03615912,-0.18654662,0.18453436,-0.22047806,0.16477604,0.02217368,-0.06842379,0.03662359,-0.11133546,0.20790401,-0.043675885,0.15861079
cell_0021,0.11023358,-0.043711964,-0.06568204,0.01380453,0.18923618,-0.058501348,-0.1893489,0.017059453,-0.08033454,0.06891621,0.18161887,-0.0768798,-0.07147749,-0.037811033,0.23221897,0.0491099,0.070284985,-0.083681084,-0.0052771596,0.19693278,-0.07764545,0.28276286,-0.042246766,0.15793236,0.08570411,-0.07761484,-0.13577999,-0.32159212,0.06591499,-0.022690415,-0.01124474,0.19693768,0.04740674,0.0011106307,-0.058661375,0.10341616,-0.064591296,0.10017103,-0.06308527,0.11258121,0.030159978,0.14423636,0.2105343,-0.09016457,-0.20201354,0.036781404,0.087449566,-0.11951664,0.22801498,-0.016924694,0.08234395,-0.10017483,0.08372087,-0.19265781,0.22823206,-0.21397085,0.10179932,0.038124025,-0.11858446,-0.004775891,-0.039312735,0.14544004,-0.07068511,-0.020584686
cell_0022,0.13685556,-0.12417826,-0.091034174,0.19851814,0.09827902,-0.09242588,-0.15177003,0.12045766,-0.097676285,0.0017411239,0.21280016,-0.050997533,-0.17555366,0.048749823,0.122433364,0.1848596,0.16018131,-0.05413382,0.04879053,0.12616573,-0.04944764,0.13885675,-0.03151279,0.17563787,0.012976288,-0.046686977,-0.011411919,-0.23888944,-0.051883914,-0.07458764,-0.020915557,0.18137673,0.105832584,0.033805493,-0.16294281,0.036629885,-0.090933606,0.014569168,-0.19045897,0.10511078,0.17581855,0.06304309,0.074351236,-0.04146794,-0.11981524,0.016200507,0.20767595,-0.10009994,0.25681403,0.055909537,0.11029609,-0.098611325,0.08977675,-0.21072808,0.21030115,-0.23161243,0.09530933,0.054761242,-0.10317122,0.047693398,-0.0724446,0.19824323,0.005418342,0.06483006
cell_0023,0.20262147,-0.18299034,-0.033968832,0.16833901,0.055142846,-0.10974006,-0.17386152,0.13064712,-0.11579503,0.13485543,0.1328882,-0.14677598,-0.12694614,0.0042172917,0.17627425,0.17855507,0.093801,-0.002905596,0.010063542,0.2153793,-0.10881476,0.23632385,-0.07270119,0.09467893,0.061070908,-0.13429037,-0.14721516,-0.21589933,0.0478519,0.054354966,0.05354761,0.120243505,0.04371133,0.028688872,-0.029887162,0.20410591,-0.08982579,0.111151285,-0.111897185,0.06347022,0.09392841,0.02698766,0.17783813,-0.07777117,-0.16123073,0.040054794,0.0675524,-0.01168038,0.16448958,0.04145694,0.040553037,-0.037751127,0.13944502,-0.20733792,0.20472702,-0.24456418,0.10409352,0.03434498,-0.1502124,0.049909808,-0.08987889,0.1435414,-0.075429454,0.06795926
cell_0024,0.19854584,-0.038093533,-0.041559994,0.10793459,0.058964256,-0.1579412,-0.18130697,0.09991912,-0.14339961,0.0027129895,0.20084472,-0.037883393,-0.19974196,0.06578223,0.15773563,0.22395818,0.12799056,-0.025028897,-0.01887241,0.18118979,-0.018843561,0.14541417,-0.12341601,0.16130577,0.040285528,-0.09285663,-0.12602384,-0.22371209,0.018364713,-0.06189697,0.09002115,0.15271881,0.057094425,0.09173523,-0.03515215,0.24297391,-0.10568358,0.027827961,-0.11108599,0.09711657,0.0714063,0.06195097,0.21190543,-0.077403024,-0.11262438,0.12342789,0.08593191,-0.13516444,0.19898279,-0.020018358,0.1376657,-0.07845966,0.09586944,-0.13392398,0.16915655,-0.20444578,0.14435355,0.03506737,-0.12467485,0.009846561,-0.08019806,0.19124039,-0.045599796,0.060425784
cell_0025,0.18527906,-0.14252613,-0.057167392,0.1810864,0.030693367,-0.13613445,-0.15446174,0.14767495,-0.10933795,0.11385822,0.14278598,-0.16159819,-0.10754574,-0.017906578,0.24464887,0.19499128,0.08361234,-0.049002856,0.023852577,0.2097281,-0.053129047,0.21836701,-0.06529549,0.0872162,0.111200064,-0.10672678,-0.1335296,-0.18495677,0.007824521,0.07960783,0.020093618,0.18967554,0.023664262,0.024617424,-0.06371943,0.19085672,-0.09731102,0.076644674,-0.14290132,0.078816056,0.08510002,0.035524413,0.15202565,-0.13311669,-0.1354188,0.0059515173,0.11271858,0.028112307,0.13719279,0.064598314,0.028149366,-0.030581173,0.089840285,-0.24760965,0.179641,-0.22140159,0.08893467,0.08207186,-0.18865728,0.07198011,-0.08689249,0.08064643,-0.101667166,0.08966616
cell_0026,0.23274608,-0.11665851,-0.006533775,0.18739747,0.045513723,-0.06125456,-0.10933323,0.098283455,-0.16124663,0.1032473,0.115767114,-0.09918333,-0.04637885,0.001288989,0.18617809,0.16160014,0.10010427,0.0077457163,0.006836643,0.09230569,0.015275702,0.2827606,-0.096118994,0.18645115,0.09447613,-0.11407791,-0.11490735,-0.16648537,0.046901304,-0.0069887983,0.08740582,0.09465746,0.09861712,-0.059608784,-0.03348482,0.1939832,-0.094945,0.09086544,-0.19557811,-0.0141594615,0.023207601,0.14830695,0.18772751,-0.061179,-0.12409829,0.09511622,0.063737825,-0.1082446,0.25940043,0.021321032,0.18088743,-0.018488878,0.07363932,-0.1441419,0.29171592,-0.21156825,0.05898036,0.048623886,-0.10409575,0.010062317,-0.12205438,0.104345195,-0.07725248,0.085746385
cell_0027,0.18256,-0.13150981,-0.046878815,0.169314,0.026578605,-0.17004229,-0.118647456,0.06241718,-0.10363184,0.056594867,0.19094962,-0.099231854,-0.107988484,0.03562311,0.10599653,0.14491388,0.1547003,-0.0067759203,0.02568989,0.22310334,-0.058269724,0.23509571,-0.04977779,0.119290605,0.010364916,-0.060159553,-0.07003077,-0.17011455,-0.0594221,-0.0734933,0.05894865,0.13507174,0.06508417,-0.022047926,-0.1281437,0.08769617,-0.0670424,0.005787201,-0.14750195,0.13115157,0.13269895,0.053709704,0.20602763,0.022229156,-0.17688176,0.055969317,0.13637456,-0.12212049,0.23639593,0.12507097,0.16073534,-0.05327538,0.0104005225,-0.22248536,0.18753143,-0.25954986,0.11065589,0.033509374,-0.089979544,0.07143101,-0.15961021,0.0890402,-0.04906111,0.17055388
cell_0028,0.1880455,-0.14336668,-0.07928927,0.06335647,0.055625845,-0.12844492,-0.18243577,0.045418415,-0.15934686,0.13285151,0.10919393,-0.09759968,-0.110029094,-0.07007201,0.16331922,0.14236182,0.06960093,0.020252964,-0.101481475,0.16942175,-0.04809451,0.24233979,-0.05916147,0.020099703,0.17518933,-0.11866078,-0.17124602,-0.28260612,0.06814202,0.018627794,0.002407426,0.16176379,0.027317427,0.0014888901,-0.029856179,0.20958863,-0.1554901,0.14111763,-0.10455226,0.028636351,0.04839517,-0.009122956,0.1220668,-0.15001749,-0.19189341,-0.00079521525,0.07449943,-0.035418797,0.19317782,-0.033861507,-0.038673453,-0.010694291,0.13756043,-0.19369824,0.2627718,-0.15274,0.16026555,-0.024061806,-0.052478295,0.04603691,-0.093562335,0.03473129,-0.18606456,0.08117306
cell_0029,0.19768612,-0.13425155,-0.15366638,0.1332367,0.07948922,-0.1136448,-0.07883698,0.0700763,-0.14614329,0.003476484,0.18319659,-0.07620468,-0.16252467,0.051792104,0.1374962,0.122514635,0.15089051,-0.028238641,0.07954454,0.21246412,-0.086958915,0.18795814,-0.12760442,0.124306604,0.059412505,-0.12448488,-0.13884509,-0.26845372,0.03084544,-0.05868757,0.08683872,0.15192948,0.096591495,0.04406254,-0.060328823,0.1366224,-0.087644435,0.052381914,-0.163055,0.012275446,0.09113927,0.07798255,0.17385234,-0.047726966,-0.19075756,0.025220934,0.02104377,-0.084240995,0.18632904,-0.02055462,0.0758686,0.014559337,0.1006121,-0.17352903,0.25142822,-0.25726527,0.10730242,-0.022015948,-0.05544266,0.012722256,-0.12853855,0.14726332,-0.084990144,0.13699049
cell_0030,0.12309421,-0.14306693,-0.13993113,0.15652215,-0.003878314,-0.11760972,-0.098068625,0.15046771,-0.08205762,-0.012830402,0.14121024,-0.07561656,-0.16356236,-0.007916901,0.24882254,0.14120144,0.06203467,-0.0070037814,-0.04180026,0.20581047,-0.058028933,0.21149804,-0.09194124,0.054353014,0.0665221,-0.060319792,-0.12825358,-0.20958649,0.06096313,0.1304967,0.0080410475,0.18466133,0.067005254,0.07917302,-0.049998187,0.13308564,-0.13073671,0.110524364,-0.13084301,0.14533983,0.06886132,-0.050784245,0.115620084,-0.20024611,-0.14741504,0.08358396,0.08148309,0.036805566,0.20151262,0.043329455,-0.023456974,0.017626494,0.107309,-0.24078381,0.14010416,-0.24282368,0.22688824,0.094382085,-0.10794541,0.08089883,-0.04339364,0.08131181,-0.098959476,0.13339178
