cell_id,UMAP1,UMAP2,batch,cell_type
cell_0076,16.791256,0.49254668,B0,pDC
cell_0077,18.986235,1.1026081,B0,pDC
cell_0078,16.562534,1.7154602,B0,pDC
cell_0079,18.365778,1.8196888,B0,pDC
cell_0080,4.5136437,13.826065,B0,DoubleNeg
cell_0081,2.9943037,13.12595,B0,DoubleNeg
cell_0082,2.4674428,13.405331,B0,DoubleNeg
cell_0083,4.7242546,14.864773,B0,DoubleNeg
cell_0084,4.0772705,13.019947,B0,DoubleNeg
cell_0085,3.3982115,12.891759,B0,DoubleNeg
cell_0086,3.4277308,14.9366255,B0,DoubleNeg
cell_0087,3.3992286,13.267782,B0,DoubleNeg
cell_0088,3.1396456,13.148772,B0,DoubleNeg
cell_0089,3.850347,13.034096,B0,DoubleNeg
cell_0090,2.5622034,13.559496,B0,DoubleNeg
cell_0091,4.2172456,13.451606,B0,DoubleNeg
cell_0092,3.1347456,14.096739,B0,DoubleNeg
cell_0093,5.268386,14.682111,B0,DoubleNeg
cell_0094,4.5757427,14.123112,B0,DoubleNeg
cell_0095,4.1154933,15.124909,B0,DoubleNeg
cell_0096,4.84377,14.007692,B0,DoubleNeg
cell_0097,3.0339286,14.870551,B0,DoubleNeg
cell_0098,3.0500655,14.756693,B0,DoubleNeg
cell_0099,3.342911,13.201645,B0,DoubleNeg
cell_0100,4.0285106,15.256179,B0,DoubleNeg
cell_0101,4.0222077,14.098355,B0,DoubleNeg
cell_0102,2.9328308,13.728637,B0,DoubleNeg
cell_0103,5.1638956,14.597582,B0,DoubleNeg
cell_0104,3.503842,14.029295,B0,DoubleNeg
cell_0105,2.9451158,14.49109,B0,DoubleNeg
cell_0106,2.6623611,14.372705,B0,DoubleNeg
cell_0107,4.5470715,14.353652,B0,DoubleNeg
cell_0108,4.868148,14.17629,B0,DoubleNeg
cell_0109,3.6929448,13.77856,B0,DoubleNeg
cell_0110,4.0598416,13.883573,B0,DoubleNeg
cell_0111,2.9543395,14.052943,B0,DoubleNeg
cell_0112,2.8922765,13.372321,B0,DoubleNeg
cell_0113,3.67908,14.836312,B0,DoubleNeg
cell_0114,3.759444,14.777696,B0,DoubleNeg
cell_0115,4.4806924,14.528632,B0,DoubleNeg
cell_0116,4.4853964,15.159347,B0,DoubleNeg
cell_0117,3.2272985,14.847627,B0,DoubleNeg
cell_0118,5.224589,14.316934,B0,DoubleNeg
cell_0119,3.4052048,15.039255,B0,DoubleNeg
cell_0120,3.1014926,14.136302,B0,DoubleNeg
cell_0121,4.937771,14.225574,B0,DoubleNeg
cell_0122,4.404291,14.69572,B0,DoubleNeg
cell_0123,4.3008356,14.530957,B0,DoubleNeg
cell_0124,4.5980635,13.7093315,B0,DoubleNeg
cell_0125,4.3009543,15.19982,B0,DoubleNeg
cell_0126,2.646868,13.361252,B0,DoubleNeg
cell_0127,4.0472445,14.584096,B0,DoubleNeg
cell_0128,5.1218033,14.80977,B0,DoubleNeg
cell_0129,3.9524581,13.829899,B0,DoubleNeg
cell_0130,4.626949,15.025652,B0,DoubleNeg
cell_0131,4.6653414,13.267869,B0,DoubleNeg
cell_0132,3.6939316,13.320429,B0,DoubleNeg
cell_0133,5.319245,14.652732,B0,DoubleNeg
cell_0134,4.0690155,14.599964,B0,DoubleNeg
cell_0135,4.263331,14.802916,B0,DoubleNeg
cell_0136,3.337999,14.668552,B0,DoubleNeg
cell_0137,4.2155275,13.959577,B0,DoubleNeg
cell_0138,3.9212277,15.330475,B0,DoubleNeg
cell_0139,3.319348,13.252625,B0,DoubleNeg
cell_0140,5.113139,14.532389,B0,DoubleNeg
cell_0141,2.743193,13.206042,B0,DoubleNeg
cell_0142,3.4417975,14.174176,B0,DoubleNeg
cell_0143,3.5477157,13.938054,B0,DoubleNeg
cell_0144,3.9343219,14.502491,B0,DoubleNeg
cell_0145,2.964303,12.877349,B0,DoubleNeg
cell_0146,4.5281243,13.68952,B0,DoubleNeg
cell_0147,4.0382166,15.362955,B0,DoubleNeg
cell_0148,4.26854,14.3547125,B0,DoubleNeg
cell_0149,3.242811,15.135141,B0,DoubleNeg
cell_0150,4.9425855,14.801668,B0,DoubleNeg
cell_0151,4.69075,14.222073,B0,DoubleNeg
cell_0152,4.2887764,14.689248,B0,DoubleNeg
cell_0153,2.4100494,14.121031,B0,DoubleNeg
cell_0154,3.5554757,14.830382,B0,DoubleNeg
cell_0155,3.868171,14.523341,B0,DoubleNeg
cell_0156,2.7129796,14.478768,B0,DoubleNeg
cell_0157,3.2030177,14.9838,B0,DoubleNeg
cell_0158,2.4271784,14.038716,B0,DoubleNeg
cell_0159,4.1843605,15.155004,B0,DoubleNeg
cell_0160,-4.8651433,1.7023429,B0,CD141
cell_0161,-5.1469765,3.1403236,B0,CD141
cell_0162,-4.7109947,3.418018,B0,CD141
cell_0163,-3.8081315,2.4376957,B0,CD141
cell_0164,-5.1315303,2.4609437,B0,CD141
cell_0165,-4.488545,2.941182,B0,CD141
cell_0166,-5.0079784,1.9295958,B0,CD141
cell_0167,-4.5244093,3.5401719,B0,CD141
cell_0168,-4.6589985,1.8905696,B0,CD141
cell_0169,-4.0466166,2.4934533,B0,CD141
cell_0170,-4.4279437,2.9249003,B0,CD141
cell_0171,-4.1721244,2.777579,B0,CD141
cell_0172,-4.7822657,2.6899884,B0,CD141
cell_0173,-4.554179,3.0299718,B0,CD141
cell_0174,-4.339559,2.1158931,B0,CD141
cell_0175,-4.788431,3.4889793,B0,CD141
cell_0176,-4.615872,2.359678,B0,CD141
cell_0177,-4.826374,2.3995965,B0,CD141
cell_0178,-4.994838,1.600718,B0,CD141
cell_0179,-5.393087,1.8013815,B0,CD141
cell_0180,-4.9114285,2.9126399,B0,CD141
cell_0181,-4.9332037,1.8802897,B0,CD141
cell_0182,-4.3436937,2.9811916,B0,CD141
cell_0183,-4.73043,2.07109,B0,CD141
cell_0184,-4.471136,2.1678116,B0,CD141
cell_0185,-4.8133426,3.2666454,B0,CD141
cell_0186,-4.607657,2.9608586,B0,CD141
cell_0187,-4.4288607,3.1699872,B0,CD141
cell_0188,-5.235482,1.9442284,B0,CD141
cell_0189,-5.0657587,3.3186648,B0,CD141
cell_0190,-4.9597206,2.8814783,B0,CD141
cell_0191,-4.2837887,3.0767448,B0,CD141
cell_0192,-4.280811,2.6417246,B0,CD141
cell_0193,-4.558987,1.7966633,B0,CD141
cell_0194,-4.407736,2.5973043,B0,CD141
cell_0195,-5.1529336,1.5851685,B0,CD141
cell_0196,-4.7647634,3.5885763,B0,CD141
cell_0197,-4.401584,1.9394139,B0,CD141
cell_0198,-5.4445267,1.9308181,B0,CD141
cell_0199,-4.8416963,2.6828456,B0,CD141
cell_0200,-5.019999,3.1625578,B0,CD141
cell_0201,-5.298167,1.7960143,B0,CD141
cell_0202,-5.144272,2.3819346,B0,CD141
cell_0203,-5.024161,2.7104204,B0,CD141
cell_0204,-5.104361,1.645763,B0,CD141
cell_0205,-4.0995183,2.4863813,B0,CD141
cell_0206,-4.9078274,1.9206487,B0,CD141
cell_0207,-4.244221,2.8607528,B0,CD141
cell_0208,-4.2505417,2.2762299,B0,CD141
cell_0209,-5.0683174,2.1871603,B0,CD141
cell_0210,-4.3233953,3.4057426,B0,CD141
cell_0211,-5.1382155,2.596031,B0,CD141
cell_0212,-4.4111257,2.8785198,B0,CD141
cell_0213,-4.8808856,2.166667,B0,CD141
cell_0214,-5.0657644,1.809167,B0,CD141
cell_0215,-5.1352496,2.1320305,B0,CD141
cell_0216,-4.89734,2.3529603,B0,CD141
cell_0217,-4.129416,2.6491263,B0,CD141
cell_0218,-5.584275,1.9305825,B0,CD141
cell_0219,-4.5999246,2.7991474,B0,CD141
cell_0220,-4.6012316,2.2712955,B0,CD141
cell_0221,-4.9963465,3.3832402,B0,CD141
cell_0222,-4.414188,2.5499775,B0,CD141
cell_0223,-4.9223776,1.8395765,B0,CD141
cell_0224,-5.1046867,1.6273702,B0,CD141
cell_0225,-4.243816,2.0986211,B0,CD141
cell_0226,-5.372624,1.9772812,B0,CD141
cell_0227,-4.0724893,2.5246258,B0,CD141
cell_0228,-4.1918006,3.0773106,B0,CD141
cell_0229,-4.3277826,1.9207478,B0,CD141
cell_0230,-4.132922,2.2519503,B0,CD141
cell_0231,-4.5823984,3.223444,B0,CD141
cell_0232,-4.7875614,3.9037986,B0,CD141
cell_0233,-5.2189045,2.6716936,B0,CD141
cell_0234,-4.2226853,1.887006,B0,CD141
cell_0235,-4.1574683,3.2128363,B0,CD141
cell_0236,-4.552048,3.4337602,B0,CD141
cell_0237,-3.915828,2.5352979,B0,CD141
cell_0238,-4.4460497,3.0323472,B0,CD141
cell_0239,-4.1877804,2.3117256,B0,CD141
cell_0240,16.829967,0.32394183,B1,pDC
cell_0241,17.879747,0.23994446,B1,pDC
cell_0242,16.652218,2.363167,B1,pDC
cell_0243,16.835793,1.181502,B1,pDC
cell_0244,18.7375,0.21564978,B1,pDC
cell_0245,17.578733,0.46095914,B1,pDC
cell_0246,17.102814,0.9358965,B1,pDC
cell_0247,17.670795,0.44652495,B1,pDC
cell_0248,16.734426,2.4790776,B1,pDC
cell_0249,17.65248,0.6928553,B1,pDC
cell_0250,17.79922,1.9630144,B1,pDC
cell_0251,16.622606,1.9766712,B1,pDC
cell_0252,17.2569,0.29246157,B1,pDC
cell_0253,18.255526,0.37334618,B1,pDC
cell_0254,16.584597,0.41030213,B1,pDC
cell_0255,16.349276,0.3086943,B1,pDC
cell_0256,16.407936,1.0632193,B1,pDC
cell_0257,18.198498,0.9268863,B1,pDC
cell_0258,17.28121,0.6234779,B1,pDC
cell_0259,17.961302,0.92764944,B1,pDC
cell_0260,16.757135,1.1504047,B1,pDC
cell_0261,16.281649,0.9233963,B1,pDC
cell_0262,16.772993,2.1986074,B1,pDC
cell_0263,17.016153,0.49872038,B1,pDC
cell_0264,16.906382,2.5522614,B1,pDC
cell_0265,17.026289,0.8398132,B1,pDC
cell_0266,16.679075,0.251208,B1,pDC
cell_0267,17.539574,0.9393303,B1,pDC
cell_0268,18.294058,0.1835947,B1,pDC
cell_0269,16.677443,0.1781023,B1,pDC
cell_0270,16.192774,1.2524753,B1,pDC
cell_0271,17.892948,0.33784366,B1,pDC
cell_0272,17.057457,2.184018,B1,pDC
cell_0273,17.032944,0.22111724,B1,pDC
cell_0274,17.92946,0.2425233,B1,pDC
cell_0275,17.781473,0.25298873,B1,pDC
cell_0276,17.008831,0.9844364,B1,pDC
cell_0277,17.128748,1.3092684,B1,pDC
cell_0278,16.871279,2.4886568,B1,pDC
cell_0279,16.33082,0.2529303,B1,pDC
cell_0280,16.901463,2.086592,B1,pDC
cell_0281,17.110521,0.11448914,B1,pDC
cell_0282,16.769257,1.6164541,B1,pDC
cell_0283,17.742994,1.6262419,B1,pDC
cell_0284,17.181314,-0.08988653,B1,pDC
cell_0285,17.254425,0.6733147,B1,pDC
cell_0286,16.96517,0.4137407,B1,pDC
cell_0287,18.588602,0.1867589,B1,pDC
cell_0288,17.574322,2.073659,B1,pDC
cell_0289,17.590134,0.40163594,B1,pDC
cell_0290,17.37047,2.2474205,B1,pDC
cell_0291,17.126637,2.1244757,B1,pDC
cell_0292,16.976406,0.3542333,B1,pDC
cell_0293,16.489534,1.4959954,B1,pDC
cell_0294,17.435648,2.4442167,B1,pDC
cell_0295,16.44966,1.0591009,B1,pDC
cell_0296,17.489853,-0.030152049,B1,pDC
cell_0297,17.9929,0.90617496,B1,pDC
cell_0298,16.309662,0.29603165,B1,pDC
cell_0299,16.48953,1.1802422,B1,pDC
cell_0300,16.602736,2.076788,B1,pDC
cell_0301,17.751469,0.2527628,B1,pDC
cell_0302,17.48041,2.4396982,B1,pDC
cell_0303,17.499798,1.9024699,B1,pDC
cell_0304,17.227577,2.5301034,B1,pDC
cell_0305,18.76121,0.53226054,B1,pDC
cell_0306,16.480986,1.3135353,B1,pDC
cell_0307,17.606531,1.4617001,B1,pDC
cell_0308,18.938135,0.43566146,B1,pDC
cell_0309,17.52759,0.18803246,B1,pDC
cell_0310,16.591553,2.1986656,B1,pDC
cell_0311,17.753094,0.0990207,B1,pDC
cell_0312,17.963829,0.5497256,B1,pDC
cell_0313,17.768768,1.4098874,B1,pDC
cell_0314,17.575798,0.042711496,B1,pDC
cell_0315,17.540754,0.817756,B1,pDC
cell_0316,16.510485,0.61339074,B1,pDC
cell_0317,18.225481,1.9813546,B1,pDC
cell_0318,18.88221,0.3338607,B1,pDC
cell_0319,16.599516,0.9554873,B1,pDC
cell_0320,3.5129313,14.148447,B1,DoubleNeg
cell_0321,4.0484624,15.031139,B1,DoubleNeg
cell_0322,2.5576599,13.879862,B1,DoubleNeg
cell_0323,3.7238705,14.712183,B1,DoubleNeg
cell_0324,5.030226,14.741875,B1,DoubleNeg
cell_0325,4.054523,14.112707,B1,DoubleNeg
cell_0326,3.3910787,13.132576,B1,DoubleNeg
cell_0327,5.071359,14.6439085,B1,DoubleNeg
cell_0328,3.6005697,13.1149,B1,DoubleNeg
cell_0329,2.7270415,14.69714,B1,DoubleNeg
cell_0330,3.4158795,15.209497,B1,DoubleNeg
cell_0331,3.6408362,14.438461,B1,DoubleNeg
cell_0332,3.9189646,13.16017,B1,DoubleNeg
cell_0333,5.050719,13.63272,B1,DoubleNeg
cell_0334,4.0446258,13.406969,B1,DoubleNeg
cell_0335,4.2513285,13.947714,B1,DoubleNeg
cell_0336,3.9388325,14.0451355,B1,DoubleNeg
cell_0337,3.6162777,13.42698,B1,DoubleNeg
cell_0338,5.334238,14.449588,B1,DoubleNeg
cell_0339,4.0031314,13.353538,B1,DoubleNeg
cell_0340,3.5798984,13.194819,B1,DoubleNeg
cell_0341,3.8507135,13.615004,B1,DoubleNeg
cell_0342,4.9420166,14.429959,B1,DoubleNeg
cell_0343,3.3897457,14.608872,B1,DoubleNeg
cell_0344,4.9186254,14.275929,B1,DoubleNeg
cell_0345,5.3449574,14.102542,B1,DoubleNeg
cell_0346,3.5681963,13.4418955,B1,DoubleNeg
cell_0347,3.4622514,13.414005,B1,DoubleNeg
cell_0348,4.398482,13.505843,B1,DoubleNeg
cell_0349,2.5292816,13.474451,B1,DoubleNeg
cell_0350,2.43009,13.5722065,B1,DoubleNeg
cell_0351,4.281489,13.938999,B1,DoubleNeg
cell_0352,3.8050244,13.368985,B1,DoubleNeg
cell_0353,4.214219,13.974466,B1,DoubleNeg
cell_0354,3.6816924,15.243149,B1,DoubleNeg
cell_0355,3.1142824,12.934968,B1,DoubleNeg
cell_0356,2.829004,14.257195,B1,DoubleNeg
cell_0357,5.076611,14.839772,B1,DoubleNeg
cell_0358,4.8108907,13.340281,B1,DoubleNeg
cell_0359,3.8660436,15.250152,B1,DoubleNeg
cell_0360,4.956207,14.10781,B1,DoubleNeg
cell_0361,4.2050967,13.113656,B1,DoubleNeg
cell_0362,5.2161856,14.199861,B1,DoubleNeg
cell_0363,2.5500705,14.411277,B1,DoubleNeg
cell_0364,4.8353825,13.75326,B1,DoubleNeg
cell_0365,3.7075484,13.932776,B1,DoubleNeg
cell_0366,4.3853326,13.281423,B1,DoubleNeg
cell_0367,3.4649727,14.310106,B1,DoubleNeg
cell_0368,5.1456017,14.845445,B1,DoubleNeg
cell_0369,3.1406302,14.535203,B1,DoubleNeg
cell_0370,5.449666,14.425428,B1,DoubleNeg
cell_0371,4.246123,12.989761,B1,DoubleNeg
cell_0372,5.186572,13.849418,B1,DoubleNeg
cell_0373,3.055306,13.654462,B1,DoubleNeg
cell_0374,3.5889194,13.332427,B1,DoubleNeg
cell_0375,3.9842324,15.250075,B1,DoubleNeg
cell_0376,3.7267294,12.859491,B1,DoubleNeg
cell_0377,2.9889374,12.793004,B1,DoubleNeg
cell_0378,3.2649865,15.150213,B1,DoubleNeg
cell_0379,4.411476,13.173968,B1,DoubleNeg
cell_0380,2.9343455,13.150463,B1,DoubleNeg
cell_0381,4.076218,12.816017,B1,DoubleNeg
cell_0382,4.4678345,13.424317,B1,DoubleNeg
cell_0383,3.6050227,14.045813,B1,DoubleNeg
cell_0384,3.484272,13.499585,B1,DoubleNeg
cell_0385,5.280962,14.063012,B1,DoubleNeg
cell_0386,3.0230258,12.763353,B1,DoubleNeg
cell_0387,3.7180219,13.879802,B1,DoubleNeg
cell_0388,2.9324362,14.472571,B1,DoubleNeg
cell_0389,3.81683,13.032117,B1,DoubleNeg
cell_0390,5.4311194,13.942585,B1,DoubleNeg
cell_0391,3.3598864,13.744823,B1,DoubleNeg
cell_0392,3.1885812,12.972324,B1,DoubleNeg
cell_0393,3.9218192,13.593312,B1,DoubleNeg
cell_0394,4.953072,13.631417,B1,DoubleNeg
cell_0395,5.248722,14.498957,B1,DoubleNeg
cell_0396,3.8499694,14.783917,B1,DoubleNeg
cell_0397,2.9214475,14.216144,B1,DoubleNeg
cell_0398,4.7231593,14.196143,B1,DoubleNeg
cell_0399,3.7560298,14.611502,B1,DoubleNeg
cell_0400,-5.5247197,5.4531207,B1,CD1C
cell_0401,-4.942327,4.3358693,B1,CD1C
cell_0402,-4.6267304,5.8063903,B1,CD1C
cell_0403,-5.4738693,5.77553,B1,CD1C
cell_0404,-5.0871706,5.976993,B1,CD1C
cell_0405,-5.5370417,4.59416,B1,CD1C
cell_0406,-5.930654,5.4107237,B1,CD1C
cell_0407,-5.135007,5.733956,B1,CD1C
cell_0408,-4.8768225,6.37851,B1,CD1C
cell_0409,-5.7521114,6.1434517,B1,CD1C
cell_0410,-4.547114,5.752254,B1,CD1C
cell_0411,-4.740903,6.0355124,B1,CD1C
cell_0412,-4.7947803,5.9524198,B1,CD1C
cell_0413,-4.7723093,5.8563247,B1,CD1C
cell_0414,-5.698252,5.8827524,B1,CD1C
cell_0415,-5.939672,5.836564,B1,CD1C
cell_0416,-5.625963,5.720565,B1,CD1C
cell_0417,-4.654018,5.494247,B1,CD1C
cell_0418,-5.188564,5.572856,B1,CD1C
cell_0419,-5.6392765,5.586957,B1,CD1C
cell_0420,-5.722374,6.1393585,B1,CD1C
cell_0421,-4.8385715,6.4083915,B1,CD1C
cell_0422,-4.7196326,4.6226,B1,CD1C
cell_0423,-5.962638,5.3232956,B1,CD1C
cell_0424,-4.7156053,4.312178,B1,CD1C
cell_0425,-4.9422216,4.252706,B1,CD1C
cell_0426,-5.776737,5.1554804,B1,CD1C
cell_0427,-5.1780524,6.6131296,B1,CD1C
cell_0428,-5.6920605,5.735808,B1,CD1C
cell_0429,-4.930417,6.392698,B1,CD1C
cell_0430,-4.994412,6.3950086,B1,CD1C
cell_0431,-5.3228927,4.392095,B1,CD1C
cell_0432,-5.864728,5.2686305,B1,CD1C
cell_0433,-4.4083033,4.121205,B1,CD1C
cell_0434,-5.858814,5.0091286,B1,CD1C
cell_0435,-5.183245,6.580845,B1,CD1C
cell_0436,-5.3060894,2.931924,B1,CD1C
cell_0437,-4.80203,5.295282,B1,CD1C
cell_0438,-5.2999797,6.343274,B1,CD1C
cell_0439,-5.8491044,5.8033695,B1,CD1C
cell_0440,-5.2638354,5.9085517,B1,CD1C
cell_0441,-5.190513,5.105741,B1,CD1C
cell_0442,-4.933087,6.546111,B1,CD1C
cell_0443,-5.2483563,5.4480586,B1,CD1C
cell_0444,-5.907388,5.7170997,B1,CD1C
cell_0445,-5.053308,5.2661195,B1,CD1C
cell_0446,-5.141215,5.175357,B1,CD1C
cell_0447,-5.5031047,6.399353,B1,CD1C
cell_0448,-4.6264844,4.8182063,B1,CD1C
cell_0449,-5.94095,4.8206086,B1,CD1C
cell_0450,-5.274351,6.65724,B1,CD1C
cell_0451,-5.849602,5.281186,B1,CD1C
cell_0452,-5.806319,5.9278755,B1,CD1C
cell_0453,-4.7783337,5.393275,B1,CD1C
cell_0454,-5.5756903,5.264675,B1,CD1C
cell_0455,-4.5272923,5.879816,B1,CD1C
cell_0456,-5.929759,6.156966,B1,CD1C
cell_0457,-5.1068587,6.2298007,B1,CD1C
cell_0458,-5.750233,4.992913,B1,CD1C
cell_0459,-4.963734,5.7773747,B1,CD1C
cell_0460,-5.340687,6.078697,B1,CD1C
cell_0461,-5.533445,4.9570503,B1,CD1C
cell_0462,-5.087811,6.1586237,B1,CD1C
cell_0463,-4.9356136,6.121072,B1,CD1C
cell_0464,-5.7842727,5.9055004,B1,CD1C
cell_0465,-5.5300226,4.481699,B1,CD1C
cell_0466,-4.783526,5.820437,B1,CD1C
cell_0467,-4.445896,5.3643136,B1,CD1C
cell_0468,-5.778253,5.283139,B1,CD1C
cell_0469,-5.8505383,6.1984754,B1,CD1C
cell_0470,-4.7049828,6.38599,B1,CD1C
cell_0471,-5.2867427,5.7775884,B1,CD1C
cell_0472,-5.6958275,6.0069838,B1,CD1C
cell_0473,-4.8889065,5.3269143,B1,CD1C
cell_0474,-5.598861,5.8262563,B1,CD1C
cell_0475,-4.795345,5.2971044,B1,CD1C
cell_0476,-5.66027,5.921253,B1,CD1C
cell_0477,-5.9285016,5.351411,B1,CD1C
cell_0478,-6.0474706,5.498064,B1,CD1C
cell_0479,-5.1540475,6.2142057,B1,CD1C
