cell_id,batch,cell_type
cell_0198,B0,CD141
cell_0199,B0,CD141
cell_0200,B0,CD141
cell_0201,B0,CD141
cell_0202,B0,CD141
cell_0203,B0,CD141
cell_0204,B0,CD141
cell_0205,B0,CD141
cell_0206,B0,CD141
cell_0207,B0,CD141
cell_0208,B0,CD141
cell_0209,B0,CD141
cell_0210,B0,CD141
cell_0211,B0,CD141
cell_0212,B0,CD141
cell_0213,B0,CD141
cell_0214,B0,CD141
cell_0215,B0,CD141
cell_0216,B0,CD141
cell_0217,B0,CD141
cell_0218,B0,CD141
cell_0219,B0,CD141
cell_0220,B0,CD141
cell_0221,B0,CD141
cell_0222,B0,CD141
cell_0223,B0,CD141
cell_0224,B0,CD141
cell_0225,B0,CD141
cell_0226,B0,CD141
cell_0227,B0,CD141
cell_0228,B0,CD141
cell_0229,B0,CD141
cell_0230,B0,CD141
cell_0231,B0,CD141
cell_0232,B0,CD141
cell_0233,B0,CD141
cell_0234,B0,CD141
cell_0235,B0,CD141
cell_0236,B0,CD141
cell_0237,B0,CD141
cell_0238,B0,CD141
cell_0239,B0,CD141
cell_0240,B1,pDC
cell_0241,B1,pDC
cell_0242,B1,pDC
cell_0243,B1,pDC
cell_0244,B1,pDC
cell_0245,B1,pDC
cell_0246,B1,pDC
cell_0247,B1,pDC
cell_0248,B1,pDC
cell_0249,B1,pDC
cell_0250,B1,pDC
cell_0251,B1,pDC
cell_0252,B1,pDC
cell_0253,B1,pDC
cell_0254,B1,pDC
cell_0255,B1,pDC
cell_0256,B1,pDC
cell_0257,B1,pDC
cell_0258,B1,pDC
cell_0259,B1,pDC
cell_0260,B1,pDC
cell_0261,B1,pDC
cell_0262,B1,pDC
cell_0263,B1,pDC
cell_0264,B1,pDC
cell_0265,B1,pDC
cell_0266,B1,pDC
cell_0267,B1,pDC
cell_0268,B1,pDC
cell_0269,B1,pDC
cell_0270,B1,pDC
cell_0271,B1,pDC
cell_0272,B1,pDC
cell_0273,B1,pDC
cell_0274,B1,pDC
cell_0275,B1,pDC
cell_0276,B1,pDC
cell_0277,B1,pDC
cell_0278,B1,pDC
cell_0279,B1,pDC
cell_0280,B1,pDC
cell_0281,B1,pDC
cell_0282,B1,pDC
cell_0283,B1,pDC
cell_0284,B1,pDC
cell_0285,B1,pDC
cell_0286,B1,pDC
cell_0287,B1,pDC
cell_0288,B1,pDC
cell_0289,B1,pDC
cell_0290,B1,pDC
cell_0291,B1,pDC
cell_0292,B1,pDC
cell_0293,B1,pDC
cell_0294,B1,pDC
cell_0295,B1,pDC
cell_0296,B1,pDC
cell_0297,B1,pDC
cell_0298,B1,pDC
cell_0299,B1,pDC
cell_0300,B1,pDC
cell_0301,B1,pDC
cell_0302,B1,pDC
cell_0303,B1,pDC
cell_0304,B1,pDC
cell_0305,B1,pDC
cell_0306,B1,pDC
cell_0307,B1,pDC
cell_0308,B1,pDC
cell_0309,B1,pDC
cell_0310,B1,pDC
cell_0311,B1,pDC
cell_0312,B1,pDC
cell_0313,B1,pDC
cell_0314,B1,pDC
cell_0315,B1,pDC
cell_0316,B1,pDC
cell_0317,B1,pDC
cell_0318,B1,pDC
cell_0319,B1,pDC
cell_0320,B1,DoubleNeg
cell_0321,B1,DoubleNeg
cell_0322,B1,DoubleNeg
cell_0323,B1,DoubleNeg
cell_0324,B1,DoubleNeg
cell_0325,B1,DoubleNeg
cell_0326,B1,DoubleNeg
cell_0327,B1,DoubleNeg
cell_0328,B1,DoubleNeg
cell_0329,B1,DoubleNeg
cell_0330,B1,DoubleNeg
cell_0331,B1,DoubleNeg
cell_0332,B1,DoubleNeg
cell_0333,B1,DoubleNeg
cell_0334,B1,DoubleNeg
cell_0335,B1,DoubleNeg
cell_0336,B1,DoubleNeg
cell_0337,B1,DoubleNeg
cell_0338,B1,DoubleNeg
cell_0339,B1,DoubleNeg
cell_0340,B1,DoubleNeg
cell_0341,B1,DoubleNeg
cell_0342,B1,DoubleNeg
cell_0343,B1,DoubleNeg
cell_0344,B1,DoubleNeg
cell_0345,B1,DoubleNeg
cell_0346,B1,DoubleNeg
cell_0347,B1,DoubleNeg
cell_0348,B1,DoubleNeg
cell_0349,B1,DoubleNeg
cell_0350,B1,DoubleNeg
cell_0351,B1,DoubleNeg
cell_0352,B1,DoubleNeg
cell_0353,B1,DoubleNeg
cell_0354,B1,DoubleNeg
cell_0355,B1,DoubleNeg
cell_0356,B1,DoubleNeg
cell_0357,B1,DoubleNeg
cell_0358,B1,DoubleNeg
cell_0359,B1,DoubleNeg
cell_0360,B1,DoubleNeg
cell_0361,B1,DoubleNeg
cell_0362,B1,DoubleNeg
cell_0363,B1,DoubleNeg
cell_0364,B1,DoubleNeg
cell_0365,B1,DoubleNeg
cell_0366,B1,DoubleNeg
cell_0367,B1,DoubleNeg
cell_0368,B1,DoubleNeg
cell_0369,B1,DoubleNeg
cell_0370,B1,DoubleNeg
cell_0371,B1,DoubleNeg
cell_0372,B1,DoubleNeg
cell_0373,B1,DoubleNeg
cell_0374,B1,DoubleNeg
cell_0375,B1,DoubleNeg
cell_0376,B1,DoubleNeg
cell_0377,B1,DoubleNeg
cell_0378,B1,DoubleNeg
cell_0379,B1,DoubleNeg
cell_0380,B1,DoubleNeg
cell_0381,B1,DoubleNeg
cell_0382,B1,DoubleNeg
cell_0383,B1,DoubleNeg
cell_0384,B1,DoubleNeg
cell_0385,B1,DoubleNeg
cell_0386,B1,DoubleNeg
cell_0387,B1,DoubleNeg
cell_0388,B1,DoubleNeg
cell_0389,B1,DoubleNeg
cell_0390,B1,DoubleNeg
cell_0391,B1,DoubleNeg
cell_0392,B1,DoubleNeg
cell_0393,B1,DoubleNeg
cell_0394,B1,DoubleNeg
cell_0395,B1,DoubleNeg
cell_0396,B1,DoubleNeg
cell_0397,B1,DoubleNeg
cell_0398,B1,DoubleNeg
cell_0399,B1,DoubleNeg
cell_0400,B1,CD1C
cell_0401,B1,CD1C
cell_0402,B1,CD1C
cell_0403,B1,CD1C
cell_0404,B1,CD1C
cell_0405,B1,CD1C
cell_0406,B1,CD1C
cell_0407,B1,CD1C
cell_0408,B1,CD1C
cell_0409,B1,CD1C
cell_0410,B1,CD1C
cell_0411,B1,CD1C
cell_0412,B1,CD1C
cell_0413,B1,CD1C
cell_0414,B1,CD1C
cell_0415,B1,CD1C
cell_0416,B1,CD1C
cell_0417,B1,CD1C
cell_0418,B1,CD1C
cell_0419,B1,CD1C
cell_0420,B1,CD1C
cell_0421,B1,CD1C
cell_0422,B1,CD1C
cell_0423,B1,CD1C
cell_0424,B1,CD1C
cell_0425,B1,CD1C
cell_0426,B1,CD1C
cell_0427,B1,CD1C
cell_0428,B1,CD1C
cell_0429,B1,CD1C
cell_0430,B1,CD1C
cell_0431,B1,CD1C
cell_0432,B1,CD1C
cell_0433,B1,CD1C
cell_0434,B1,CD1C
cell_0435,B1,CD1C
cell_0436,B1,CD1C
cell_0437,B1,CD1C
cell_0438,B1,CD1C
cell_0439,B1,CD1C
cell_0440,B1,CD1C
cell_0441,B1,CD1C
cell_0442,B1,CD1C
cell_0443,B1,CD1C
cell_0444,B1,CD1C
cell_0445,B1,CD1C
cell_0446,B1,CD1C
cell_0447,B1,CD1C
cell_0448,B1,CD1C
cell_0449,B1,CD1C
cell_0450,B1,CD1C
cell_0451,B1,CD1C
cell_0452,B1,CD1C
cell_0453,B1,CD1C
cell_0454,B1,CD1C
cell_0455,B1,CD1C
cell_0456,B1,CD1C
cell_0457,B1,CD1C
cell_0458,B1,CD1C
cell_0459,B1,CD1C
cell_0460,B1,CD1C
cell_0461,B1,CD1C
cell_0462,B1,CD1C
cell_0463,B1,CD1C
cell_0464,B1,CD1C
cell_0465,B1,CD1C
cell_0466,B1,CD1C
cell_0467,B1,CD1C
cell_0468,B1,CD1C
cell_0469,B1,CD1C
cell_0470,B1,CD1C
cell_0471,B1,CD1C
cell_0472,B1,CD1C
cell_0473,B1,CD1C
cell_0474,B1,CD1C
cell_0475,B1,CD1C
cell_0476,B1,CD1C
cell_0477,B1,CD1C
cell_0478,B1,CD1C
cell_0479,B1,CD1C
