Cell,cell_type,batch
Cell235,Group5,Batch1
Cell236,Group1,Batch1
Cell237,Group7,Batch1
Cell238,Group6,Batch1
Cell239,Group1,Batch1
Cell240,Group2,Batch1
Cell241,Group5,Batch1
Cell242,Group3,Batch1
Cell243,Group8,Batch1
Cell244,Group6,Batch1
Cell245,Group4,Batch1
Cell246,Group1,Batch1
Cell247,Group6,Batch1
Cell248,Group1,Batch1
Cell249,Group5,Batch1
Cell250,Group7,Batch1
Cell251,Group2,Batch1
Cell252,Group10,Batch1
Cell253,Group3,Batch1
Cell254,Group7,Batch1
Cell255,Group2,Batch1
Cell256,Group10,Batch1
Cell257,Group10,Batch1
Cell258,Group9,Batch1
Cell259,Group2,Batch1
Cell260,Group7,Batch1
Cell261,Group7,Batch1
Cell262,Group2,Batch1
Cell263,Group3,Batch1
Cell264,Group6,Batch1
Cell265,Group4,Batch1
Cell266,Group2,Batch1
Cell267,Group4,Batch1
Cell268,Group8,Batch1
Cell269,Group8,Batch1
Cell270,Group7,Batch1
Cell271,Group5,Batch1
Cell272,Group1,Batch1
Cell273,Group4,Batch1
Cell274,Group1,Batch1
Cell275,Group7,Batch1
Cell276,Group8,Batch1
Cell277,Group5,Batch1
Cell278,Group8,Batch1
Cell279,Group5,Batch1
Cell280,Group10,Batch1
Cell281,Group8,Batch1
Cell282,Group2,Batch1
Cell283,Group2,Batch1
Cell284,Group8,Batch1
Cell285,Group1,Batch1
Cell286,Group8,Batch1
Cell287,Group6,Batch1
Cell288,Group5,Batch1
Cell289,Group5,Batch1
Cell290,Group9,Batch1
Cell291,Group7,Batch1
Cell292,Group10,Batch1
Cell293,Group3,Batch1
Cell294,Group10,Batch1
Cell295,Group7,Batch1
Cell296,Group1,Batch1
Cell297,Group3,Batch1
Cell298,Group8,Batch1
Cell299,Group1,Batch1
Cell300,Group8,Batch1
Cell301,Group2,Batch1
Cell302,Group8,Batch1
Cell303,Group8,Batch1
Cell304,Group4,Batch1
Cell305,Group6,Batch1
Cell306,Group8,Batch1
Cell307,Group6,Batch1
Cell308,Group9,Batch1
Cell309,Group9,Batch1
Cell310,Group9,Batch1
Cell311,Group8,Batch1
Cell312,Group2,Batch1
Cell313,Group2,Batch1
Cell314,Group3,Batch1
Cell315,Group10,Batch1
Cell316,Group7,Batch1
Cell317,Group2,Batch1
Cell318,Group1,Batch1
Cell319,Group1,Batch1
Cell320,Group6,Batch1
Cell321,Group3,Batch1
Cell322,Group9,Batch1
Cell323,Group4,Batch1
Cell324,Group1,Batch1
Cell325,Group6,Batch1
Cell326,Group4,Batch1
Cell327,Group3,Batch1
Cell328,Group8,Batch1
Cell329,Group10,Batch1
Cell330,Group5,Batch1
Cell331,Group2,Batch1
Cell332,Group2,Batch1
Cell333,Group6,Batch1
Cell334,Group8,Batch1
Cell335,Group10,Batch1
Cell336,Group1,Batch1
Cell337,Group1,Batch1
Cell338,Group7,Batch1
Cell339,Group4,Batch1
Cell340,Group3,Batch1
Cell341,Group6,Batch1
Cell342,Group10,Batch1
Cell343,Group7,Batch1
Cell344,Group7,Batch1
Cell345,Group2,Batch1
Cell346,Group3,Batch1
Cell347,Group8,Batch1
Cell348,Group10,Batch1
Cell349,Group5,Batch1
Cell350,Group9,Batch1
Cell351,Group1,Batch1
Cell352,Group6,Batch1
Cell353,Group10,Batch1
Cell354,Group5,Batch1
Cell355,Group10,Batch1
Cell356,Group7,Batch1
Cell357,Group7,Batch1
Cell358,Group7,Batch1
Cell359,Group1,Batch1
Cell360,Group5,Batch1
Cell361,Group9,Batch1
Cell362,Group2,Batch1
Cell363,Group3,Batch1
Cell364,Group10,Batch1
Cell365,Group10,Batch1
Cell366,Group1,Batch1
Cell367,Group8,Batch1
Cell368,Group2,Batch1
Cell369,Group8,Batch1
Cell370,Group1,Batch1
Cell371,Group10,Batch1
Cell372,Group2,Batch1
Cell373,Group6,Batch1
Cell374,Group10,Batch1
Cell375,Group8,Batch1
Cell376,Group6,Batch1
Cell377,Group3,Batch1
Cell378,Group5,Batch1
Cell379,Group5,Batch1
Cell380,Group3,Batch1
Cell381,Group6,Batch1
Cell382,Group2,Batch1
Cell383,Group7,Batch1
Cell384,Group4,Batch1
Cell385,Group2,Batch1
Cell386,Group8,Batch1
Cell387,Group4,Batch1
Cell388,Group1,Batch1
Cell389,Group10,Batch1
Cell390,Group7,Batch1
Cell391,Group6,Batch1
Cell392,Group7,Batch1
Cell393,Group1,Batch1
Cell394,Group2,Batch1
Cell395,Group5,Batch1
Cell396,Group1,Batch1
Cell397,Group2,Batch1
Cell398,Group7,Batch1
Cell399,Group7,Batch1
Cell400,Group5,Batch1
Cell401,Group2,Batch1
Cell402,Group7,Batch1
Cell403,Group10,Batch1
Cell404,Group8,Batch1
Cell405,Group7,Batch1
Cell406,Group8,Batch1
Cell407,Group6,Batch1
Cell408,Group5,Batch1
Cell409,Group1,Batch1
Cell410,Group3,Batch1
Cell411,Group10,Batch1
Cell412,Group2,Batch1
Cell413,Group7,Batch1
Cell414,Group7,Batch1
Cell415,Group10,Batch1
Cell416,Group10,Batch1
Cell417,Group1,Batch1
Cell418,Group5,Batch1
Cell419,Group6,Batch1
Cell420,Group4,Batch1
Cell421,Group4,Batch1
Cell422,Group10,Batch1
Cell423,Group3,Batch1
Cell424,Group3,Batch1
Cell425,Group8,Batch1
Cell426,Group5,Batch1
Cell427,Group2,Batch1
Cell428,Group4,Batch1
Cell429,Group5,Batch1
Cell430,Group7,Batch1
Cell431,Group10,Batch1
Cell432,Group8,Batch1
Cell433,Group6,Batch1
Cell434,Group10,Batch1
Cell435,Group5,Batch1
Cell436,Group10,Batch1
Cell437,Group6,Batch1
Cell438,Group1,Batch1
Cell439,Group3,Batch1
Cell440,Group7,Batch1
Cell441,Group8,Batch1
Cell442,Group1,Batch1
Cell443,Group1,Batch1
Cell444,Group7,Batch1
Cell445,Group7,Batch1
Cell446,Group8,Batch1
Cell447,Group1,Batch1
Cell448,Group5,Batch1
Cell449,Group1,Batch1
Cell450,Group9,Batch1
Cell451,Group8,Batch1
Cell452,Group7,Batch1
Cell453,Group7,Batch1
Cell454,Group2,Batch1
Cell455,Group7,Batch1
Cell456,Group7,Batch1
Cell457,Group5,Batch1
Cell458,Group7,Batch1
Cell459,Group6,Batch1
Cell460,Group10,Batch1
Cell461,Group1,Batch1
Cell462,Group2,Batch1
Cell463,Group10,Batch1
Cell464,Group1,Batch1
Cell465,Group2,Batch1
Cell466,Group10,Batch1
Cell467,Group6,Batch1
Cell468,Group5,Batch1
Cell469,Group1,Batch1
Cell470,Group5,Batch1
Cell471,Group1,Batch1
Cell472,Group7,Batch1
Cell473,Group1,Batch1
Cell474,Group1,Batch1
Cell475,Group7,Batch1
Cell476,Group9,Batch1
Cell477,Group7,Batch1
Cell478,Group5,Batch1
Cell479,Group2,Batch1
Cell480,Group2,Batch1
Cell481,Group1,Batch1
Cell482,Group6,Batch1
Cell483,Group2,Batch1
Cell484,Group7,Batch1
Cell485,Group2,Batch1
Cell486,Group7,Batch1
Cell487,Group1,Batch1
Cell488,Group8,Batch1
Cell489,Group10,Batch1
Cell490,Group6,Batch1
Cell491,Group3,Batch1
Cell492,Group4,Batch1
Cell493,Group5,Batch1
Cell494,Group9,Batch1
Cell495,Group5,Batch1
Cell496,Group10,Batch1
Cell497,Group10,Batch1
Cell498,Group10,Batch1
Cell499,Group3,Batch1
Cell500,Group7,Batch1
Cell501,Group5,Batch1
Cell502,Group6,Batch1
Cell503,Group3,Batch1
Cell504,Group7,Batch1
Cell505,Group6,Batch1
Cell506,Group2,Batch1
Cell507,Group1,Batch1
Cell508,Group9,Batch1
Cell509,Group8,Batch1
Cell510,Group3,Batch1
Cell511,Group3,Batch1
Cell512,Group2,Batch1
Cell513,Group3,Batch1
Cell514,Group1,Batch1
Cell515,Group7,Batch1
Cell516,Group4,Batch1
Cell517,Group1,Batch1
Cell518,Group6,Batch1
Cell519,Group3,Batch1
Cell520,Group6,Batch1
Cell521,Group7,Batch1
Cell522,Group6,Batch1
Cell523,Group2,Batch1
Cell524,Group9,Batch1
Cell525,Group2,Batch1
Cell526,Group10,Batch1
Cell527,Group3,Batch1
Cell528,Group7,Batch1
Cell529,Group5,Batch1
Cell530,Group2,Batch1
Cell531,Group8,Batch1
Cell532,Group4,Batch1
Cell533,Group4,Batch1
Cell534,Group7,Batch1
Cell535,Group1,Batch1
Cell536,Group5,Batch1
Cell537,Group7,Batch1
Cell538,Group8,Batch1
Cell539,Group6,Batch1
Cell540,Group4,Batch1
Cell541,Group7,Batch1
Cell542,Group9,Batch1
Cell543,Group10,Batch1
Cell544,Group10,Batch1
Cell545,Group3,Batch1
Cell546,Group3,Batch1
Cell547,Group3,Batch1
Cell548,Group1,Batch1
Cell549,Group4,Batch1
Cell550,Group7,Batch1
Cell551,Group8,Batch1
Cell552,Group5,Batch1
Cell553,Group3,Batch1
Cell554,Group2,Batch1
Cell555,Group1,Batch1
Cell556,Group1,Batch1
Cell557,Group8,Batch1
Cell558,Group3,Batch1
Cell559,Group8,Batch1
Cell560,Group5,Batch1
Cell561,Group1,Batch1
Cell562,Group5,Batch1
Cell563,Group7,Batch1
Cell564,Group8,Batch1
Cell565,Group8,Batch1
Cell566,Group9,Batch1
Cell567,Group5,Batch1
Cell568,Group1,Batch1
Cell569,Group2,Batch1
Cell570,Group7,Batch1
Cell571,Group2,Batch1
Cell572,Group8,Batch1
Cell573,Group2,Batch1
Cell574,Group10,Batch1
Cell575,Group10,Batch1
Cell576,Group6,Batch1
Cell577,Group6,Batch1
Cell578,Group7,Batch1
Cell579,Group1,Batch1
Cell580,Group7,Batch1
Cell581,Group7,Batch1
Cell582,Group9,Batch1
Cell583,Group7,Batch1
Cell584,Group5,Batch1
Cell585,Group9,Batch1
Cell586,Group10,Batch1
Cell587,Group7,Batch1
Cell588,Group5,Batch1
Cell589,Group9,Batch1
Cell590,Group1,Batch1
Cell591,Group6,Batch1
Cell592,Group8,Batch1
Cell593,Group1,Batch1
Cell594,Group2,Batch1
Cell595,Group6,Batch1
Cell596,Group6,Batch1
Cell597,Group10,Batch1
Cell598,Group3,Batch1
Cell599,Group1,Batch1
Cell600,Group7,Batch1
Cell601,Group3,Batch1
Cell602,Group6,Batch1
Cell603,Group7,Batch1
Cell604,Group4,Batch1
Cell605,Group8,Batch1
Cell606,Group7,Batch1
Cell607,Group6,Batch1
Cell608,Group7,Batch1
Cell609,Group8,Batch1
Cell610,Group9,Batch1
Cell611,Group8,Batch1
Cell612,Group5,Batch1
Cell613,Group1,Batch1
Cell614,Group3,Batch1
Cell615,Group7,Batch1
Cell616,Group9,Batch1
Cell617,Group1,Batch1
Cell618,Group7,Batch1
Cell619,Group7,Batch1
Cell620,Group8,Batch1
Cell621,Group5,Batch1
Cell622,Group10,Batch1
Cell623,Group5,Batch1
Cell624,Group10,Batch1
Cell625,Group2,Batch1
Cell626,Group9,Batch1
Cell627,Group5,Batch1
Cell628,Group1,Batch1
Cell629,Group3,Batch1
Cell630,Group10,Batch1
Cell631,Group6,Batch1
Cell632,Group7,Batch1
Cell633,Group7,Batch1
Cell634,Group5,Batch1
Cell635,Group1,Batch1
Cell636,Group3,Batch1
Cell637,Group2,Batch1
Cell638,Group2,Batch1
Cell639,Group6,Batch1
Cell640,Group2,Batch1
Cell641,Group5,Batch1
Cell642,Group8,Batch1
Cell643,Group4,Batch1
Cell644,Group6,Batch1
Cell645,Group5,Batch1
Cell646,Group5,Batch1
Cell647,Group1,Batch1
Cell648,Group7,Batch1
Cell649,Group1,Batch1
Cell650,Group5,Batch1
Cell651,Group10,Batch1
Cell652,Group5,Batch1
Cell653,Group7,Batch1
Cell654,Group5,Batch1
Cell655,Group3,Batch1
Cell656,Group2,Batch1
Cell657,Group4,Batch1
Cell658,Group8,Batch1
Cell659,Group5,Batch1
Cell660,Group10,Batch1
Cell661,Group5,Batch1
Cell662,Group10,Batch1
Cell663,Group8,Batch1
Cell664,Group9,Batch1
Cell665,Group10,Batch1
Cell666,Group4,Batch1
Cell667,Group3,Batch1
Cell668,Group3,Batch1
Cell669,Group7,Batch1
Cell670,Group8,Batch1
Cell671,Group2,Batch1
Cell672,Group2,Batch1
Cell673,Group8,Batch1
Cell674,Group1,Batch1
Cell675,Group1,Batch1
Cell676,Group2,Batch1
Cell677,Group8,Batch1
Cell678,Group8,Batch1
Cell679,Group7,Batch1
Cell680,Group10,Batch1
Cell681,Group8,Batch1
Cell682,Group7,Batch1
Cell683,Group7,Batch1
Cell684,Group8,Batch1
Cell685,Group1,Batch1
Cell686,Group6,Batch1
Cell687,Group3,Batch1
Cell688,Group1,Batch1
Cell689,Group7,Batch1
Cell690,Group3,Batch1
Cell691,Group7,Batch1
Cell692,Group5,Batch1
Cell693,Group3,Batch1
Cell694,Group6,Batch1
Cell695,Group8,Batch1
Cell696,Group2,Batch1
Cell697,Group7,Batch1
Cell698,Group6,Batch1
Cell699,Group2,Batch1
Cell700,Group9,Batch1
Cell701,Group10,Batch1
Cell702,Group8,Batch1
Cell703,Group3,Batch1
Cell704,Group7,Batch1
Cell705,Group8,Batch1
Cell706,Group8,Batch1
Cell707,Group7,Batch1
Cell708,Group1,Batch1
Cell709,Group3,Batch1
Cell710,Group7,Batch1
Cell711,Group5,Batch1
Cell712,Group1,Batch1
Cell713,Group9,Batch1
Cell714,Group6,Batch1
Cell715,Group1,Batch1
Cell716,Group1,Batch1
Cell717,Group10,Batch1
Cell718,Group1,Batch1
Cell719,Group7,Batch1
Cell720,Group1,Batch1
Cell721,Group3,Batch1
Cell722,Group6,Batch1
Cell723,Group8,Batch1
Cell724,Group7,Batch1
Cell725,Group2,Batch1
Cell726,Group9,Batch1
Cell727,Group7,Batch1
Cell728,Group5,Batch1
Cell729,Group10,Batch1
Cell730,Group3,Batch1
Cell731,Group7,Batch1
Cell732,Group7,Batch1
Cell733,Group6,Batch1
Cell734,Group1,Batch1
Cell735,Group3,Batch1
Cell736,Group5,Batch1
Cell737,Group3,Batch1
Cell738,Group8,Batch1
Cell739,Group7,Batch1
Cell740,Group5,Batch1
Cell741,Group10,Batch1
Cell742,Group8,Batch1
Cell743,Group9,Batch1
Cell744,Group8,Batch1
Cell745,Group8,Batch1
Cell746,Group2,Batch1
Cell747,Group3,Batch1
Cell748,Group1,Batch1
Cell749,Group4,Batch1
Cell750,Group6,Batch1
Cell751,Group10,Batch1
Cell752,Group1,Batch1
Cell753,Group8,Batch1
Cell754,Group5,Batch1
Cell755,Group1,Batch1
Cell756,Group10,Batch1
Cell757,Group6,Batch1
Cell758,Group7,Batch1
Cell759,Group9,Batch1
Cell760,Group6,Batch1
Cell761,Group10,Batch1
Cell762,Group3,Batch1
Cell763,Group5,Batch1
Cell764,Group8,Batch1
Cell765,Group2,Batch1
Cell766,Group3,Batch1
Cell767,Group9,Batch1
Cell768,Group5,Batch1
Cell769,Group6,Batch1
Cell770,Group5,Batch1
Cell771,Group1,Batch1
Cell772,Group1,Batch1
Cell773,Group4,Batch1
Cell774,Group9,Batch1
Cell775,Group3,Batch1
Cell776,Group3,Batch1
Cell777,Group2,Batch1
Cell778,Group6,Batch1
Cell779,Group2,Batch1
Cell780,Group9,Batch1
Cell781,Group10,Batch1
Cell782,Group8,Batch1
Cell783,Group3,Batch1
Cell784,Group5,Batch1
Cell785,Group3,Batch1
Cell786,Group7,Batch1
Cell787,Group1,Batch1
Cell788,Group1,Batch1
Cell789,Group1,Batch1
Cell790,Group5,Batch1
Cell791,Group7,Batch1
Cell792,Group5,Batch1
Cell793,Group3,Batch1
Cell794,Group8,Batch1
Cell795,Group7,Batch1
Cell796,Group1,Batch1
Cell797,Group9,Batch1
Cell798,Group10,Batch1
Cell799,Group1,Batch1
Cell800,Group10,Batch1
Cell801,Group7,Batch1
Cell802,Group2,Batch1
Cell803,Group6,Batch1
Cell804,Group7,Batch1
Cell805,Group1,Batch1
Cell806,Group1,Batch1
Cell807,Group7,Batch1
Cell808,Group7,Batch1
Cell809,Group6,Batch1
Cell810,Group1,Batch1
Cell811,Group6,Batch1
Cell812,Group10,Batch1
Cell813,Group3,Batch1
Cell814,Group7,Batch1
Cell815,Group4,Batch1
Cell816,Group6,Batch1
Cell817,Group10,Batch1
Cell818,Group7,Batch1
Cell819,Group9,Batch1
Cell820,Group1,Batch1
Cell821,Group3,Batch1
Cell822,Group10,Batch1
Cell823,Group1,Batch1
Cell824,Group8,Batch1
Cell825,Group7,Batch1
Cell826,Group1,Batch1
Cell827,Group9,Batch1
Cell828,Group6,Batch1
Cell829,Group1,Batch1
Cell830,Group9,Batch1
Cell831,Group7,Batch1
Cell832,Group2,Batch1
Cell833,Group1,Batch1
Cell834,Group5,Batch1
Cell835,Group1,Batch1
Cell836,Group8,Batch1
Cell837,Group10,Batch1
Cell838,Group8,Batch1
Cell839,Group2,Batch1
Cell840,Group3,Batch1
Cell841,Group4,Batch1
Cell842,Group1,Batch1
Cell843,Group3,Batch1
Cell844,Group9,Batch1
Cell845,Group7,Batch1
Cell846,Group7,Batch1
Cell847,Group4,Batch1
Cell848,Group8,Batch1
Cell849,Group2,Batch1
Cell850,Group1,Batch1
Cell851,Group7,Batch1
Cell852,Group6,Batch1
Cell853,Group5,Batch1
Cell854,Group7,Batch1
Cell855,Group5,Batch1
Cell856,Group7,Batch1
Cell857,Group6,Batch1
Cell858,Group3,Batch1
Cell859,Group2,Batch1
Cell860,Group3,Batch1
Cell861,Group5,Batch1
Cell862,Group5,Batch1
Cell863,Group9,Batch1
Cell864,Group1,Batch1
Cell865,Group3,Batch1
Cell866,Group10,Batch1
Cell867,Group10,Batch1
Cell868,Group5,Batch1
Cell869,Group1,Batch1
Cell870,Group4,Batch1
Cell871,Group8,Batch1
Cell872,Group1,Batch1
Cell873,Group7,Batch1
Cell874,Group5,Batch1
Cell875,Group1,Batch1
Cell876,Group1,Batch1
Cell877,Group6,Batch1
Cell878,Group9,Batch1
Cell879,Group5,Batch1
Cell880,Group9,Batch1
Cell881,Group1,Batch1
Cell882,Group1,Batch1
Cell883,Group9,Batch1
Cell884,Group1,Batch1
Cell885,Group1,Batch1
Cell886,Group1,Batch1
Cell887,Group7,Batch1
Cell888,Group7,Batch1
Cell889,Group10,Batch1
Cell890,Group8,Batch1
Cell891,Group1,Batch1
Cell892,Group10,Batch1
Cell893,Group7,Batch1
Cell894,Group5,Batch1
Cell895,Group1,Batch1
Cell896,Group9,Batch1
Cell897,Group1,Batch1
Cell898,Group8,Batch1
Cell899,Group7,Batch1
Cell900,Group1,Batch1
Cell901,Group9,Batch1
Cell902,Group1,Batch1
Cell903,Group5,Batch1
Cell904,Group2,Batch1
Cell905,Group7,Batch1
Cell906,Group1,Batch1
Cell907,Group10,Batch1
Cell908,Group5,Batch1
Cell909,Group9,Batch1
Cell910,Group10,Batch1
Cell911,Group1,Batch1
Cell912,Group6,Batch1
Cell913,Group5,Batch1
Cell914,Group10,Batch1
Cell915,Group1,Batch1
Cell916,Group3,Batch1
Cell917,Group2,Batch1
Cell918,Group10,Batch1
Cell919,Group3,Batch1
Cell920,Group7,Batch1
Cell921,Group7,Batch1
Cell922,Group7,Batch1
Cell923,Group3,Batch1
Cell924,Group5,Batch1
Cell925,Group3,Batch1
Cell926,Group9,Batch1
Cell927,Group7,Batch1
Cell928,Group8,Batch1
Cell929,Group9,Batch1
Cell930,Group1,Batch1
Cell931,Group7,Batch1
Cell932,Group7,Batch1
Cell933,Group1,Batch1
Cell934,Group1,Batch1
Cell935,Group7,Batch1
Cell936,Group7,Batch1
Cell937,Group5,Batch1
Cell938,Group10,Batch1
Cell939,Group2,Batch1
Cell940,Group8,Batch1
Cell941,Group1,Batch1
Cell942,Group4,Batch1
Cell943,Group4,Batch1
Cell944,Group7,Batch1
Cell945,Group1,Batch1
Cell946,Group8,Batch1
Cell947,Group10,Batch1
Cell948,Group9,Batch1
Cell949,Group1,Batch1
Cell950,Group2,Batch1
Cell951,Group1,Batch1
Cell952,Group4,Batch1
Cell953,Group1,Batch1
Cell954,Group3,Batch1
Cell955,Group7,Batch1
Cell956,Group8,Batch1
Cell957,Group2,Batch1
Cell958,Group4,Batch1
Cell959,Group7,Batch1
Cell960,Group8,Batch1
Cell961,Group9,Batch1
Cell962,Group7,Batch1
Cell963,Group1,Batch1
Cell964,Group1,Batch1
Cell965,Group7,Batch1
Cell966,Group1,Batch1
Cell967,Group1,Batch1
Cell968,Group8,Batch1
Cell969,Group10,Batch1
Cell970,Group1,Batch1
Cell971,Group1,Batch1
Cell972,Group3,Batch1
Cell973,Group8,Batch1
Cell974,Group5,Batch1
Cell975,Group8,Batch1
Cell976,Group1,Batch1
Cell977,Group5,Batch1
Cell978,Group7,Batch1
Cell979,Group4,Batch1
Cell980,Group7,Batch1
Cell981,Group4,Batch1
Cell982,Group5,Batch1
Cell983,Group8,Batch1
Cell984,Group9,Batch1
Cell985,Group7,Batch1
Cell986,Group6,Batch1
Cell987,Group9,Batch1
Cell988,Group3,Batch1
Cell989,Group10,Batch1
Cell990,Group10,Batch1
Cell991,Group4,Batch1
Cell992,Group2,Batch1
Cell993,Group6,Batch1
Cell994,Group10,Batch1
Cell995,Group1,Batch1
Cell996,Group6,Batch1
Cell997,Group1,Batch1
Cell998,Group1,Batch1
